GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,DZ6001,DZ8001,DZ9001
GIS Join Match Code,Data File Year,State Name,State Code,County Name,County Code,Area Name,Total mid-March employees,Total annual payroll,Total number of establishments
"G0100010","1994","Alabama","01","Autauga","001","Autauga, AL",7713,143529000,664
"G0100030","1994","Alabama","01","Baldwin","003","Baldwin, AL",30772,515359000,3094
"G0100050","1994","Alabama","01","Barbour","005","Barbour, AL",8034,149513000,556
"G0100070","1994","Alabama","01","Bibb","007","Bibb, AL",3776,67060000,311
"G0100090","1994","Alabama","01","Blount","009","Blount, AL",8355,139523000,674
"G0100110","1994","Alabama","01","Bullock","011","Bullock, AL",1907,31221000,140
"G0100130","1994","Alabama","01","Butler","013","Butler, AL",5588,99262000,496
"G0100150","1994","Alabama","01","Calhoun","015","Calhoun, AL",36621,675731000,2483
"G0100170","1994","Alabama","01","Chambers","017","Chambers, AL",11220,233480000,594
"G0100190","1994","Alabama","01","Cherokee","019","Cherokee, AL",3125,52513000,314
"G0100210","1994","Alabama","01","Chilton","021","Chilton, AL",5698,94207000,695
"G0100230","1994","Alabama","01","Choctaw","023","Choctaw, AL",4990,138161000,323
"G0100250","1994","Alabama","01","Clarke","025","Clarke, AL",8155,148572000,682
"G0100270","1994","Alabama","01","Clay","027","Clay, AL",4191,70204000,231
"G0100290","1994","Alabama","01","Cleburne","029","Cleburne, AL",2350,38331000,177
"G0100310","1994","Alabama","01","Coffee","031","Coffee, AL",13735,214145000,935
"G0100330","1994","Alabama","01","Colbert","033","Colbert, AL",19091,422354000,1375
"G0100350","1994","Alabama","01","Conecuh","035","Conecuh, AL",3616,68846000,250
"G0100370","1994","Alabama","01","Coosa","037","Coosa, AL",1731,32884000,141
"G0100390","1994","Alabama","01","Covington","039","Covington, AL",11770,208130000,901
"G0100410","1994","Alabama","01","Crenshaw","041","Crenshaw, AL",3037,48705000,249
"G0100430","1994","Alabama","01","Cullman","043","Cullman, AL",19575,366001000,1536
"G0100450","1994","Alabama","01","Dale","045","Dale, AL",10819,216491000,825
"G0100470","1994","Alabama","01","Dallas","047","Dallas, AL",14362,265907000,983
"G0100490","1994","Alabama","01","DeKalb","049","De Kalb, AL",19729,341977000,1185
"G0100510","1994","Alabama","01","Elmore","051","Elmore, AL",8339,144183000,931
"G0100530","1994","Alabama","01","Escambia","053","Escambia, AL",10829,200412000,840
"G0100550","1994","Alabama","01","Etowah","055","Etowah, AL",32948,676345000,2096
"G0100570","1994","Alabama","01","Fayette","057","Fayette, AL",5533,110397000,336
"G0100590","1994","Alabama","01","Franklin","059","Franklin, AL",9250,156266000,593
"G0100610","1994","Alabama","01","Geneva","061","Geneva, AL",5695,89861000,432
"G0100630","1994","Alabama","01","Greene","063","Greene, AL",1417,21018000,138
"G0100650","1994","Alabama","01","Hale","065","Hale, AL",2526,40546000,211
"G0100670","1994","Alabama","01","Henry","067","Henry, AL",3866,65982000,311
"G0100690","1994","Alabama","01","Houston","069","Houston, AL",40357,887535000,2585
"G0100710","1994","Alabama","01","Jackson","071","Jackson, AL",13230,257463000,903
"G0100730","1994","Alabama","01","Jefferson","073","Jefferson, AL",341854,8719411000,17655
"G0100750","1994","Alabama","01","Lamar","075","Lamar, AL",4772,85766000,307
"G0100770","1994","Alabama","01","Lauderdale","077","Lauderdale, AL",27076,476448000,1988
"G0100790","1994","Alabama","01","Lawrence","079","Lawrence, AL",4872,143304000,352
"G0100810","1994","Alabama","01","Lee","081","Lee, AL",28193,565824000,1764
"G0100830","1994","Alabama","01","Limestone","083","Limestone, AL",14196,371098000,909
"G0100850","1994","Alabama","01","Lowndes","085","Lowndes, AL",1572,39017000,149
"G0100870","1994","Alabama","01","Macon","087","Macon, AL",6064,107457000,234
"G0100890","1994","Alabama","01","Madison","089","Madison, AL",117843,3052889000,6433
"G0100910","1994","Alabama","01","Marengo","091","Marengo, AL",6433,131210000,485
"G0100930","1994","Alabama","01","Marion","093","Marion, AL",9728,188960000,559
"G0100950","1994","Alabama","01","Marshall","095","Marshall, AL",30370,539736000,1903
"G0100970","1994","Alabama","01","Mobile","097","Mobile, AL",146635,3170254000,9164
"G0100990","1994","Alabama","01","Monroe","099","Monroe, AL",8602,200710000,453
"G0101010","1994","Alabama","01","Montgomery","101","Montgomery, AL",97655,2039410000,5909
"G0101030","1994","Alabama","01","Morgan","103","Morgan, AL",38487,856526000,2669
"G0101050","1994","Alabama","01","Perry","105","Perry, AL",2172,35664000,172
"G0101070","1994","Alabama","01","Pickens","107","Pickens, AL",3688,54394000,369
"G0101090","1994","Alabama","01","Pike","109","Pike, AL",9031,155464000,652
"G0101110","1994","Alabama","01","Randolph","111","Randolph, AL",4700,73893000,383
"G0101130","1994","Alabama","01","Russell","113","Russell, AL",10211,203108000,851
"G0101150","1994","Alabama","01","St Clair","115","St. Clair, AL",9450,174912000,880
"G0101170","1994","Alabama","01","Shelby","117","Shelby, AL",30921,724273000,2352
"G0101190","1994","Alabama","01","Sumter","119","Sumter, AL",3618,73351000,255
"G0101210","1994","Alabama","01","Talladega","121","Talladega, AL",19542,390468000,1284
"G0101230","1994","Alabama","01","Tallapoosa","123","Tallapoosa, AL",16970,327370000,774
"G0101250","1994","Alabama","01","Tuscaloosa","125","Tuscaloosa, AL",56189,1236410000,3564
"G0101270","1994","Alabama","01","Walker","127","Walker, AL",14665,299185000,1472
"G0101290","1994","Alabama","01","Washington","129","Washington, AL",3489,112444000,274
"G0101310","1994","Alabama","01","Wilcox","131","Wilcox, AL",2652,66192000,242
