GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,DZ6001,DZ8001,DZ9001
GIS Join Match Code,Data File Year,State Name,State Code,County Name,County Code,Area Name,Total mid-March employees,Total annual payroll,Total number of establishments
"G0100010","1988","Alabama","01","Autauga","001","Autauga, AL",6156,106119000,540
"G0100010","1988","Alabama","01","Autauga","001","Autauga, AL",6156,106119000,540
"G0100030","1988","Alabama","01","Baldwin","003","Baldwin, AL",20376,266357000,2215
"G0100030","1988","Alabama","01","Baldwin","003","Baldwin, AL",20376,266357000,2215
"G0100050","1988","Alabama","01","Barbour","005","Barbour, AL",6454,98644000,506
"G0100050","1988","Alabama","01","Barbour","005","Barbour, AL",6454,98644000,506
"G0100070","1988","Alabama","01","Bibb","007","Bibb, AL",3104,38662000,256
"G0100070","1988","Alabama","01","Bibb","007","Bibb, AL",3104,38662000,256
"G0100090","1988","Alabama","01","Blount","009","Blount, AL",4151,56104000,517
"G0100090","1988","Alabama","01","Blount","009","Blount, AL",4151,56104000,517
"G0100110","1988","Alabama","01","Bullock","011","Bullock, AL",1827,22062000,152
"G0100110","1988","Alabama","01","Bullock","011","Bullock, AL",1827,22062000,152
"G0100130","1988","Alabama","01","Butler","013","Butler, AL",5316,76470000,418
"G0100130","1988","Alabama","01","Butler","013","Butler, AL",5316,76470000,418
"G0100150","1988","Alabama","01","Calhoun","015","Calhoun, AL",30650,465431000,2200
"G0100150","1988","Alabama","01","Calhoun","015","Calhoun, AL",30650,465431000,2200
"G0100170","1988","Alabama","01","Chambers","017","Chambers, AL",11803,184405000,535
"G0100170","1988","Alabama","01","Chambers","017","Chambers, AL",11803,184405000,535
"G0100190","1988","Alabama","01","Cherokee","019","Cherokee, AL",3286,40208000,275
"G0100190","1988","Alabama","01","Cherokee","019","Cherokee, AL",3286,40208000,275
"G0100210","1988","Alabama","01","Chilton","021","Chilton, AL",4974,64147000,600
"G0100210","1988","Alabama","01","Chilton","021","Chilton, AL",4974,64147000,600
"G0100230","1988","Alabama","01","Choctaw","023","Choctaw, AL",4921,119880000,310
"G0100230","1988","Alabama","01","Choctaw","023","Choctaw, AL",4921,119880000,310
"G0100250","1988","Alabama","01","Clarke","025","Clarke, AL",6822,101430000,621
"G0100250","1988","Alabama","01","Clarke","025","Clarke, AL",6822,101430000,621
"G0100270","1988","Alabama","01","Clay","027","Clay, AL",2398,33072000,212
"G0100270","1988","Alabama","01","Clay","027","Clay, AL",2398,33072000,212
"G0100290","1988","Alabama","01","Cleburne","029","Cleburne, AL",1804,21516000,148
"G0100290","1988","Alabama","01","Cleburne","029","Cleburne, AL",1804,21516000,148
"G0100310","1988","Alabama","01","Coffee","031","Coffee, AL",10547,137957000,882
"G0100310","1988","Alabama","01","Coffee","031","Coffee, AL",10547,137957000,882
"G0100330","1988","Alabama","01","Colbert","033","Colbert, AL",16206,316886000,1230
"G0100330","1988","Alabama","01","Colbert","033","Colbert, AL",16206,316886000,1230
"G0100350","1988","Alabama","01","Conecuh","035","Conecuh, AL",2375,30390000,237
"G0100350","1988","Alabama","01","Conecuh","035","Conecuh, AL",2375,30390000,237
"G0100370","1988","Alabama","01","Coosa","037","Coosa, AL",1467,23300000,125
"G0100370","1988","Alabama","01","Coosa","037","Coosa, AL",1467,23300000,125
"G0100390","1988","Alabama","01","Covington","039","Covington, AL",11111,148352000,837
"G0100390","1988","Alabama","01","Covington","039","Covington, AL",11111,148352000,837
"G0100410","1988","Alabama","01","Crenshaw","041","Crenshaw, AL",2878,34200000,235
"G0100410","1988","Alabama","01","Crenshaw","041","Crenshaw, AL",2878,34200000,235
"G0100430","1988","Alabama","01","Cullman","043","Cullman, AL",17199,262448000,1292
"G0100430","1988","Alabama","01","Cullman","043","Cullman, AL",17199,262448000,1292
"G0100450","1988","Alabama","01","Dale","045","Dale, AL",9849,131672000,721
"G0100450","1988","Alabama","01","Dale","045","Dale, AL",9849,131672000,721
"G0100470","1988","Alabama","01","Dallas","047","Dallas, AL",13249,202525000,1049
"G0100470","1988","Alabama","01","Dallas","047","Dallas, AL",13249,202525000,1049
"G0100490","1988","Alabama","01","DeKalb","049","De Kalb, AL",14952,216074000,1002
"G0100490","1988","Alabama","01","DeKalb","049","De Kalb, AL",14952,216074000,1002
"G0100510","1988","Alabama","01","Elmore","051","Elmore, AL",6543,87075000,687
"G0100510","1988","Alabama","01","Elmore","051","Elmore, AL",6543,87075000,687
"G0100530","1988","Alabama","01","Escambia","053","Escambia, AL",9211,140346000,775
"G0100530","1988","Alabama","01","Escambia","053","Escambia, AL",9211,140346000,775
"G0100550","1988","Alabama","01","Etowah","055","Etowah, AL",30266,578883000,1949
