GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,DZ6001,DZ8001,DZ9001
GIS Join Match Code,Data File Year,State Name,State Code,County Name,County Code,Area Name,Total mid-March employees,Total annual payroll,Total number of establishments
"G0100010","1997","Alabama","01","Autauga","001","Autauga, AL",8288,166744000,752
"G0100030","1997","Alabama","01","Baldwin","003","Baldwin, AL",37434,718510000,3688
"G0100050","1997","Alabama","01","Barbour","005","Barbour, AL",8765,188238000,592
"G0100070","1997","Alabama","01","Bibb","007","Bibb, AL",3871,76472000,345
"G0100090","1997","Alabama","01","Blount","009","Blount, AL",7818,143566000,737
"G0100110","1997","Alabama","01","Bullock","011","Bullock, AL",2331,40927000,148
"G0100130","1997","Alabama","01","Butler","013","Butler, AL",6518,114724000,524
"G0100150","1997","Alabama","01","Calhoun","015","Calhoun, AL",39432,783031000,2575
"G0100170","1997","Alabama","01","Chambers","017","Chambers, AL",11865,260351000,632
"G0100190","1997","Alabama","01","Cherokee","019","Cherokee, AL",3415,65787000,361
"G0100210","1997","Alabama","01","Chilton","021","Chilton, AL",6688,116979000,758
"G0100230","1997","Alabama","01","Choctaw","023","Choctaw, AL",4133,133423000,326
"G0100250","1997","Alabama","01","Clarke","025","Clarke, AL",8693,177713000,752
"G0100270","1997","Alabama","01","Clay","027","Clay, AL",4479,79071000,230
"G0100290","1997","Alabama","01","Cleburne","029","Cleburne, AL",2258,46606000,190
"G0100310","1997","Alabama","01","Coffee","031","Coffee, AL",13175,213950000,958
"G0100330","1997","Alabama","01","Colbert","033","Colbert, AL",19756,472676000,1411
"G0100350","1997","Alabama","01","Conecuh","035","Conecuh, AL",3898,84722000,264
"G0100370","1997","Alabama","01","Coosa","037","Coosa, AL",1708,32943000,136
"G0100390","1997","Alabama","01","Covington","039","Covington, AL",11979,230137000,913
"G0100410","1997","Alabama","01","Crenshaw","041","Crenshaw, AL",3004,50009000,261
"G0100430","1997","Alabama","01","Cullman","043","Cullman, AL",21601,456373000,1692
"G0100450","1997","Alabama","01","Dale","045","Dale, AL",10728,228464000,858
"G0100470","1997","Alabama","01","Dallas","047","Dallas, AL",15085,311504000,984
"G0100490","1997","Alabama","01","DeKalb","049","De Kalb, AL",20776,394897000,1236
"G0100510","1997","Alabama","01","Elmore","051","Elmore, AL",10211,181703000,1066
"G0100530","1997","Alabama","01","Escambia","053","Escambia, AL",12059,236194000,886
"G0100550","1997","Alabama","01","Etowah","055","Etowah, AL",32850,745068000,2204
"G0100570","1997","Alabama","01","Fayette","057","Fayette, AL",5808,110427000,358
"G0100590","1997","Alabama","01","Franklin","059","Franklin, AL",9722,174036000,640
"G0100610","1997","Alabama","01","Geneva","061","Geneva, AL",5345,88004000,479
"G0100630","1997","Alabama","01","Greene","063","Greene, AL",1378,21925000,146
"G0100650","1997","Alabama","01","Hale","065","Hale, AL",2983,52865000,220
"G0100670","1997","Alabama","01","Henry","067","Henry, AL",3939,78909000,323
"G0100690","1997","Alabama","01","Houston","069","Houston, AL",46244,1053672000,2810
"G0100710","1997","Alabama","01","Jackson","071","Jackson, AL",12934,301592000,935
"G0100730","1997","Alabama","01","Jefferson","073","Jefferson, AL",352849,10003160000,17711
"G0100750","1997","Alabama","01","Lamar","075","Lamar, AL",4810,114084000,303
