GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,DZ6001,DZ8001,DZ9001
GIS Join Match Code,Data File Year,State Name,State Code,County Name,County Code,Area Name,Total mid-March employees,Total annual payroll,Total number of establishments
"G0100010","1992","Alabama","01","Autauga","001","Autauga, AL",7466,129025000,641
"G0100030","1992","Alabama","01","Baldwin","003","Baldwin, AL",25470,401005000,2685
"G0100050","1992","Alabama","01","Barbour","005","Barbour, AL",7176,115715000,520
"G0100070","1992","Alabama","01","Bibb","007","Bibb, AL",3601,55253000,289
"G0100090","1992","Alabama","01","Blount","009","Blount, AL",7587,111099000,602
"G0100110","1992","Alabama","01","Bullock","011","Bullock, AL",2089,28601000,140
"G0100130","1992","Alabama","01","Butler","013","Butler, AL",5124,83369000,453
"G0100150","1992","Alabama","01","Calhoun","015","Calhoun, AL",34491,606863000,2390
"G0100170","1992","Alabama","01","Chambers","017","Chambers, AL",11450,201833000,565
"G0100190","1992","Alabama","01","Cherokee","019","Cherokee, AL",3257,49518000,303
"G0100210","1992","Alabama","01","Chilton","021","Chilton, AL",5588,81386000,634
"G0100230","1992","Alabama","01","Choctaw","023","Choctaw, AL",4974,127534000,332
"G0100250","1992","Alabama","01","Clarke","025","Clarke, AL",7197,131295000,655
"G0100270","1992","Alabama","01","Clay","027","Clay, AL",3608,55465000,234
"G0100290","1992","Alabama","01","Cleburne","029","Cleburne, AL",2087,33295000,148
"G0100310","1992","Alabama","01","Coffee","031","Coffee, AL",12299,181147000,896
"G0100330","1992","Alabama","01","Colbert","033","Colbert, AL",17372,370792000,1316
"G0100350","1992","Alabama","01","Conecuh","035","Conecuh, AL",3269,55970000,260
"G0100370","1992","Alabama","01","Coosa","037","Coosa, AL",1692,28509000,139
"G0100390","1992","Alabama","01","Covington","039","Covington, AL",11429,187066000,816
"G0100410","1992","Alabama","01","Crenshaw","041","Crenshaw, AL",3015,40716000,222
"G0100430","1992","Alabama","01","Cullman","043","Cullman, AL",18142,326413000,1416
"G0100450","1992","Alabama","01","Dale","045","Dale, AL",10273,208504000,786
"G0100470","1992","Alabama","01","Dallas","047","Dallas, AL",14625,249129000,982
"G0100490","1992","Alabama","01","DeKalb","049","De Kalb, AL",17880,297389000,1130
"G0100510","1992","Alabama","01","Elmore","051","Elmore, AL",7514,119757000,803
"G0100530","1992","Alabama","01","Escambia","053","Escambia, AL",9590,165958000,806
"G0100550","1992","Alabama","01","Etowah","055","Etowah, AL",29608,601015000,1992
"G0100570","1992","Alabama","01","Fayette","057","Fayette, AL",4490,88551000,332
"G0100590","1992","Alabama","01","Franklin","059","Franklin, AL",8860,135974000,565
"G0100610","1992","Alabama","01","Geneva","061","Geneva, AL",4695,75263000,397
"G0100630","1992","Alabama","01","Greene","063","Greene, AL",1438,19712000,148
"G0100650","1992","Alabama","01","Hale","065","Hale, AL",2403,34316000,196
"G0100670","1992","Alabama","01","Henry","067","Henry, AL",3998,61932000,311
"G0100690","1992","Alabama","01","Houston","069","Houston, AL",38015,737883000,2471
"G0100710","1992","Alabama","01","Jackson","071","Jackson, AL",11485,217033000,867
"G0100730","1992","Alabama","01","Jefferson","073","Jefferson, AL",323581,7889546000,17205
"G0100750","1992","Alabama","01","Lamar","075","Lamar, AL",5019,86765000,299
"G0100770","1992","Alabama","01","Lauderdale","077","Lauderdale, AL",24666,412136000,1884
"G0100790","1992","Alabama","01","Lawrence","079","Lawrence, AL",4569,118685000,328
"G0100810","1992","Alabama","01","Lee","081","Lee, AL",25616,479118000,1672
"G0100830","1992","Alabama","01","Limestone","083","Limestone, AL",13770,326790000,860
"G0100850","1992","Alabama","01","Lowndes","085","Lowndes, AL",1670,34215000,142
"G0100870","1992","Alabama","01","Macon","087","Macon, AL",5163,107271000,240
"G0100890","1992","Alabama","01","Madison","089","Madison, AL",107695,2733220000,6129
"G0100910","1992","Alabama","01","Marengo","091","Marengo, AL",5504,105489000,476
"G0100930","1992","Alabama","01","Marion","093","Marion, AL",8724,156163000,548
"G0100950","1992","Alabama","01","Marshall","095","Marshall, AL",27351,458377000,1780
"G0100970","1992","Alabama","01","Mobile","097","Mobile, AL",140113,2878712000,8914
"G0100990","1992","Alabama","01","Monroe","099","Monroe, AL",7866,186760000,433
"G0101010","1992","Alabama","01","Montgomery","101","Montgomery, AL",89746,1825470000,5740
"G0101030","1992","Alabama","01","Morgan","103","Morgan, AL",37144,778161000,2544
"G0101050","1992","Alabama","01","Perry","105","Perry, AL",2263,31295000,168
"G0101070","1992","Alabama","01","Pickens","107","Pickens, AL",3416,47559000,370
"G0101090","1992","Alabama","01","Pike","109","Pike, AL",8165,134641000,634
"G0101110","1992","Alabama","01","Randolph","111","Randolph, AL",4223,64964000,317
"G0101130","1992","Alabama","01","Russell","113","Russell, AL",9648,185387000,786
"G0101150","1992","Alabama","01","St Clair","115","St. Clair, AL",7648,135385000,789
"G0101170","1992","Alabama","01","Shelby","117","Shelby, AL",26488,582491000,2157
"G0101190","1992","Alabama","01","Sumter","119","Sumter, AL",3162,57554000,244
"G0101210","1992","Alabama","01","Talladega","121","Talladega, AL",18043,359597000,1228
"G0101230","1992","Alabama","01","Tallapoosa","123","Tallapoosa, AL",18869,323170000,722
