GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,C4S001,C4U001,C4V001
GIS Join Match Code,Data File Year,State Name,State Code,County Name,County Code,Area Name,Total mid-March employees,Total annual payroll,Total number of establishments
"G0100010","1974","Alabama","01","Autauga","001","Autauga, AL",4253,28715000,338
"G0100030","1974","Alabama","01","Baldwin","003","Baldwin, AL",11894,72579000,1251
"G0100050","1974","Alabama","01","Barbour","005","Barbour, AL",5123,31955000,444
"G0100070","1974","Alabama","01","Bibb","007","Bibb, AL",2285,13607000,181
"G0100090","1974","Alabama","01","Blount","009","Blount, AL",3378,20548000,378
"G0100110","1974","Alabama","01","Bullock","011","Bullock, AL",1812,10733000,144
"G0100130","1974","Alabama","01","Butler","013","Butler, AL",4846,27566000,411
"G0100150","1974","Alabama","01","Calhoun","015","Calhoun, AL",24823,167659000,1694
"G0100170","1974","Alabama","01","Chambers","017","Chambers, AL",12932,88200000,451
"G0100190","1974","Alabama","01","Cherokee","019","Cherokee, AL",2389,14352000,220
"G0100210","1974","Alabama","01","Chilton","021","Chilton, AL",3133,16950000,427
"G0100230","1974","Alabama","01","Choctaw","023","Choctaw, AL",3949,31420000,283
"G0100250","1974","Alabama","01","Clarke","025","Clarke, AL",5688,37438000,496
"G0100270","1974","Alabama","01","Clay","027","Clay, AL",2245,12263000,178
"G0100290","1974","Alabama","01","Cleburne","029","Cleburne, AL",1711,9072000,108
"G0100310","1974","Alabama","01","Coffee","031","Coffee, AL",7700,45642000,586
"G0100330","1974","Alabama","01","Colbert","033","Colbert, AL",16515,152632000,974
"G0100350","1974","Alabama","01","Conecuh","035","Conecuh, AL",2595,15259000,219
"G0100370","1974","Alabama","01","Coosa","037","Coosa, AL",1257,7331000,111
"G0100390","1974","Alabama","01","Covington","039","Covington, AL",10046,55568000,764
"G0100410","1974","Alabama","01","Crenshaw","041","Crenshaw, AL",1807,9382000,208
"G0100430","1974","Alabama","01","Cullman","043","Cullman, AL",10606,65628000,840
"G0100450","1974","Alabama","01","Dale","045","Dale, AL",6261,43302000,515
"G0100470","1974","Alabama","01","Dallas","047","Dallas, AL",12877,77361000,954
"G0100490","1974","Alabama","01","DeKalb","049","De Kalb, AL",7490,46079000,605
"G0100510","1974","Alabama","01","Elmore","051","Elmore, AL",3506,19843000,420
"G0100530","1974","Alabama","01","Escambia","053","Escambia, AL",7718,45691000,749
"G0100550","1974","Alabama","01","Etowah","055","Etowah, AL",25140,220314000,1631
"G0100570","1974","Alabama","01","Fayette","057","Fayette, AL",4183,28167000,274
"G0100590","1974","Alabama","01","Franklin","059","Franklin, AL",4865,31994000,391
"G0100610","1974","Alabama","01","Geneva","061","Geneva, AL",3806,19293000,360
"G0100630","1974","Alabama","01","Greene","063","Greene, AL",887,5500000,132
"G0100650","1974","Alabama","01","Hale","065","Hale, AL",1681,7372000,169
"G0100670","1974","Alabama","01","Henry","067","Henry, AL",2649,14704000,248
"G0100690","1974","Alabama","01","Houston","069","Houston, AL",23511,153445000,1551
"G0100710","1974","Alabama","01","Jackson","071","Jackson, AL",9015,69885000,589
"G0100730","1974","Alabama","01","Jefferson","073","Jefferson, AL",237003,2168345000,12162
"G0100750","1974","Alabama","01","Lamar","075","Lamar, AL",2631,16723000,209
"G0100770","1974","Alabama","01","Lauderdale","077","Lauderdale, AL",12243,76597000,1147
"G0100790","1974","Alabama","01","Lawrence","079","Lawrence, AL",2705,18753000,215
"G0100810","1974","Alabama","01","Lee","081","Lee, AL",15475,111223000,992
