GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,C4S001,C4U001,C4V001
GIS Join Match Code,Data File Year,State Name,State Code,County Name,County Code,Area Name,Total mid-March employees,Total annual payroll,Total number of establishments
"G0100010","1976","Alabama","01","Autauga","001","Autauga, AL",4295,35329000,358
"G0100030","1976","Alabama","01","Baldwin","003","Baldwin, AL",12452,89921000,1338
"G0100050","1976","Alabama","01","Barbour","005","Barbour, AL",4809,34825000,438
"G0100070","1976","Alabama","01","Bibb","007","Bibb, AL",2059,15733000,194
"G0100090","1976","Alabama","01","Blount","009","Blount, AL",3518,26320000,388
"G0100110","1976","Alabama","01","Bullock","011","Bullock, AL",1930,12499000,143
"G0100130","1976","Alabama","01","Butler","013","Butler, AL",4677,32893000,405
"G0100150","1976","Alabama","01","Calhoun","015","Calhoun, AL",24259,190101000,1703
"G0100170","1976","Alabama","01","Chambers","017","Chambers, AL",13040,101230000,477
"G0100190","1976","Alabama","01","Cherokee","019","Cherokee, AL",2586,18098000,212
"G0100210","1976","Alabama","01","Chilton","021","Chilton, AL",3686,23541000,426
"G0100230","1976","Alabama","01","Choctaw","023","Choctaw, AL",3884,39282000,272
"G0100250","1976","Alabama","01","Clarke","025","Clarke, AL",6230,48618000,517
"G0100270","1976","Alabama","01","Clay","027","Clay, AL",1989,14240000,189
"G0100290","1976","Alabama","01","Cleburne","029","Cleburne, AL",1385,10063000,120
"G0100310","1976","Alabama","01","Coffee","031","Coffee, AL",6973,50887000,629
"G0100330","1976","Alabama","01","Colbert","033","Colbert, AL",17256,206676000,979
"G0100350","1976","Alabama","01","Conecuh","035","Conecuh, AL",2432,18277000,216
"G0100370","1976","Alabama","01","Coosa","037","Coosa, AL",1183,8696000,112
"G0100390","1976","Alabama","01","Covington","039","Covington, AL",9885,66905000,720
"G0100410","1976","Alabama","01","Crenshaw","041","Crenshaw, AL",1647,10692000,205
"G0100430","1976","Alabama","01","Cullman","043","Cullman, AL",10937,79344000,873
"G0100450","1976","Alabama","01","Dale","045","Dale, AL",6013,48928000,489
"G0100470","1976","Alabama","01","Dallas","047","Dallas, AL",12928,93071000,957
"G0100490","1976","Alabama","01","DeKalb","049","De Kalb, AL",7764,55998000,637
"G0100510","1976","Alabama","01","Elmore","051","Elmore, AL",3626,26537000,453
"G0100530","1976","Alabama","01","Escambia","053","Escambia, AL",7889,63688000,755
"G0100550","1976","Alabama","01","Etowah","055","Etowah, AL",24549,239542000,1631
"G0100570","1976","Alabama","01","Fayette","057","Fayette, AL",4667,40219000,296
"G0100590","1976","Alabama","01","Franklin","059","Franklin, AL",4550,31587000,401
"G0100610","1976","Alabama","01","Geneva","061","Geneva, AL",3895,25127000,347
"G0100630","1976","Alabama","01","Greene","063","Greene, AL",976,5793000,130
"G0100650","1976","Alabama","01","Hale","065","Hale, AL",1234,7784000,162
"G0100670","1976","Alabama","01","Henry","067","Henry, AL",2679,18442000,250
"G0100690","1976","Alabama","01","Houston","069","Houston, AL",23047,177502000,1584
"G0100710","1976","Alabama","01","Jackson","071","Jackson, AL",9149,81793000,613
"G0100730","1976","Alabama","01","Jefferson","073","Jefferson, AL",238667,2547174000,12456
"G0100750","1976","Alabama","01","Lamar","075","Lamar, AL",2911,21849000,213
"G0100770","1976","Alabama","01","Lauderdale","077","Lauderdale, AL",12798,94562000,1220
"G0100790","1976","Alabama","01","Lawrence","079","Lawrence, AL",3181,27927000,216
"G0100810","1976","Alabama","01","Lee","081","Lee, AL",14774,117666000,985
"G0100830","1976","Alabama","01","Limestone","083","Limestone, AL",6133,43373000,539
"G0100850","1976","Alabama","01","Lowndes","085","Lowndes, AL",1129,7166000,106
"G0100870","1976","Alabama","01","Macon","087","Macon, AL",2472,20043000,211
"G0100890","1976","Alabama","01","Madison","089","Madison, AL",52118,472777000,3176
"G0100910","1976","Alabama","01","Marengo","091","Marengo, AL",4273,34558000,394
"G0100930","1976","Alabama","01","Marion","093","Marion, AL",6768,51951000,380
"G0100950","1976","Alabama","01","Marshall","095","Marshall, AL",13415,100349000,1124
"G0100970","1976","Alabama","01","Mobile","097","Mobile, AL",95397,923677000,6310
"G0100990","1976","Alabama","01","Monroe","099","Monroe, AL",5015,36427000,305
"G0101010","1976","Alabama","01","Montgomery","101","Montgomery, AL",59465,541042000,3873
"G0101030","1976","Alabama","01","Morgan","103","Morgan, AL",25846,255616000,1585
"G0101050","1976","Alabama","01","Perry","105","Perry, AL",1658,9930000,199
"G0101070","1976","Alabama","01","Pickens","107","Pickens, AL",3198,22765000,329
"G0101090","1976","Alabama","01","Pike","109","Pike, AL",5293,34855000,503
"G0101110","1976","Alabama","01","Randolph","111","Randolph, AL",3828,25831000,261
"G0101130","1976","Alabama","01","Russell","113","Russell, AL",6330,49405000,590
"G0101150","1976","Alabama","01","St Clair","115","St. Clair, AL",3811,31759000,421
"G0101170","1976","Alabama","01","Shelby","117","Shelby, AL",9745,86809000,742
"G0101190","1976","Alabama","01","Sumter","119","Sumter, AL",2996,20679000,231
"G0101210","1976","Alabama","01","Talladega","121","Talladega, AL",15928,133047000,949
"G0101230","1976","Alabama","01","Tallapoosa","123","Tallapoosa, AL",13137,97562000,625
"G0101250","1976","Alabama","01","Tuscaloosa","125","Tuscaloosa, AL",31729,265378000,2152
"G0101270","1976","Alabama","01","Walker","127","Walker, AL",12616,138047000,897
"G0101290","1976","Alabama","01","Washington","129","Washington, AL",2725,31946000,158
"G0101310","1976","Alabama","01","Wilcox","131","Wilcox, AL",2210,23210000,203
"G0101330","1976","Alabama","01","Winston","133","Winston, AL",5214,40616000,341
"G0109990","1976","Alabama","01","Remainder of Alabama","999","Alabama Statewide No Fixed Loc",717,10215000,394
"G0200100","1976","Alaska","02","Aleutian Islands","010","Aleutian Islands, AK",1137,14895000,52
"G0200200","1976","Alaska","02","Anchorage","020","Anchorage, AK",53572,984827000,3766
"G0200300","1976","Alaska","02","Angoon","030","Angoon, AK",50,202000,7
"G0200400","1976","Alaska","02","Barrow","040","Barrow, AK",748,10660000,30
"G0200500","1976","Alaska","02","Bethel","050","Bethel, AK",807,7006000,90
"G0200600","1976","Alaska","02","Bristol Bay Borough","060","Bristol Bay, AK",154,2860000,20
"G0200700","1976","Alaska","02","Dillingham","070","Dillingham (Bristol Bay), AK",459,6374000,61
"G0200800","1976","Alaska","02","Cordova-McCarthy","080","Cordova-McCarthy, AK",708,7226000,61
"G0200900","1976","Alaska","02","Fairbanks North Star","090","Fairbanks North Star, AK",23741,753627000,1014
"G0201000","1976","Alaska","02","Haines","100","Haines, AK",324,4461000,57
