GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,C4S001,C4U001,C4V001
GIS Join Match Code,Data File Year,State Name,State Code,County Name,County Code,Area Name,Total mid-March employees,Total annual payroll,Total number of establishments
"G0100010","1983","Alabama","01","Autauga","001","Autauga, AL",4753,68358000,420
"G0100030","1983","Alabama","01","Baldwin","003","Baldwin, AL",14872,173165000,1854
"G0100050","1983","Alabama","01","Barbour","005","Barbour, AL",4985,59306000,480
"G0100070","1983","Alabama","01","Bibb","007","Bibb, AL",2504,25557000,209
"G0100090","1983","Alabama","01","Blount","009","Blount, AL",3385,40899000,436
"G0100110","1983","Alabama","01","Bullock","011","Bullock, AL",1640,17060000,162
"G0100130","1983","Alabama","01","Butler","013","Butler, AL",5378,60387000,430
"G0100150","1983","Alabama","01","Calhoun","015","Calhoun, AL",25781,332735000,1981
"G0100170","1983","Alabama","01","Chambers","017","Chambers, AL",10978,151487000,523
"G0100190","1983","Alabama","01","Cherokee","019","Cherokee, AL",3036,31514000,263
"G0100210","1983","Alabama","01","Chilton","021","Chilton, AL",4102,46674000,489
"G0100230","1983","Alabama","01","Choctaw","023","Choctaw, AL",0,0,284
"G0100250","1983","Alabama","01","Clarke","025","Clarke, AL",5815,72827000,555
"G0100270","1983","Alabama","01","Clay","027","Clay, AL",2457,25754000,201
"G0100290","1983","Alabama","01","Cleburne","029","Cleburne, AL",1716,18556000,139
"G0100310","1983","Alabama","01","Coffee","031","Coffee, AL",7737,89693000,798
"G0100330","1983","Alabama","01","Colbert","033","Colbert, AL",14988,277734000,1109
"G0100350","1983","Alabama","01","Conecuh","035","Conecuh, AL",3301,43026000,249
"G0100370","1983","Alabama","01","Coosa","037","Coosa, AL",1437,20657000,121
"G0100390","1983","Alabama","01","Covington","039","Covington, AL",9944,112078000,816
"G0100410","1983","Alabama","01","Crenshaw","041","Crenshaw, AL",2265,23355000,238
"G0100430","1983","Alabama","01","Cullman","043","Cullman, AL",11415,147896000,1087
"G0100450","1983","Alabama","01","Dale","045","Dale, AL",7270,105029000,623
"G0100470","1983","Alabama","01","Dallas","047","Dallas, AL",13753,171816000,1037
"G0100490","1983","Alabama","01","DeKalb","049","De Kalb, AL",11273,134638000,848
"G0100510","1983","Alabama","01","Elmore","051","Elmore, AL",4598,55649000,568
"G0100530","1983","Alabama","01","Escambia","053","Escambia, AL",8358,107558000,777
"G0100550","1983","Alabama","01","Etowah","055","Etowah, AL",25773,445992000,1763
"G0100570","1983","Alabama","01","Fayette","057","Fayette, AL",3945,55741000,303
"G0100590","1983","Alabama","01","Franklin","059","Franklin, AL",5851,74650000,495
"G0100610","1983","Alabama","01","Geneva","061","Geneva, AL",3715,42837000,353
"G0100630","1983","Alabama","01","Greene","063","Greene, AL",1270,12503000,136
"G0100650","1983","Alabama","01","Hale","065","Hale, AL",1463,15681000,182
"G0100670","1983","Alabama","01","Henry","067","Henry, AL",3063,36512000,261
"G0100690","1983","Alabama","01","Houston","069","Houston, AL",27030,364819000,2100
"G0100710","1983","Alabama","01","Jackson","071","Jackson, AL",8978,122814000,724
"G0100730","1983","Alabama","01","Jefferson","073","Jefferson, AL",244335,4171177000,14787
"G0100750","1983","Alabama","01","Lamar","075","Lamar, AL",3982,45382000,267
"G0100770","1983","Alabama","01","Lauderdale","077","Lauderdale, AL",16199,196394000,1527
"G0100790","1983","Alabama","01","Lawrence","079","Lawrence, AL",3974,73024000,264
"G0100810","1983","Alabama","01","Lee","081","Lee, AL",19283,269504000,1260
"G0100830","1983","Alabama","01","Limestone","083","Limestone, AL",7948,140557000,621
"G0100850","1983","Alabama","01","Lowndes","085","Lowndes, AL",968,11672000,127
"G0100870","1983","Alabama","01","Macon","087","Macon, AL",3107,32621000,228
"G0100890","1983","Alabama","01","Madison","089","Madison, AL",64019,1100165000,4194
"G0100910","1983","Alabama","01","Marengo","091","Marengo, AL",4247,62092000,400
"G0100930","1983","Alabama","01","Marion","093","Marion, AL",7994,103805000,461
"G0100950","1983","Alabama","01","Marshall","095","Marshall, AL",16883,197960000,1304
"G0100970","1983","Alabama","01","Mobile","097","Mobile, AL",102878,1625526000,7802
"G0100990","1983","Alabama","01","Monroe","099","Monroe, AL",5927,88648000,358
"G0101010","1983","Alabama","01","Montgomery","101","Montgomery, AL",69117,1039880000,4771
"G0101030","1983","Alabama","01","Morgan","103","Morgan, AL",26584,427509000,1908
"G0101050","1983","Alabama","01","Perry","105","Perry, AL",2319,19053000,196
"G0101070","1983","Alabama","01","Pickens","107","Pickens, AL",3033,36040000,327
"G0101090","1983","Alabama","01","Pike","109","Pike, AL",5304,55161000,560
"G0101110","1983","Alabama","01","Randolph","111","Randolph, AL",3636,42721000,310
"G0101130","1983","Alabama","01","Russell","113","Russell, AL",7141,90568000,670
"G0101150","1983","Alabama","01","St Clair","115","St. Clair, AL",4585,55959000,518
"G0101170","1983","Alabama","01","Shelby","117","Shelby, AL",13773,237245000,1073
"G0101190","1983","Alabama","01","Sumter","119","Sumter, AL",2964,39481000,249
"G0101210","1983","Alabama","01","Talladega","121","Talladega, AL",16998,241956000,1090
"G0101230","1983","Alabama","01","Tallapoosa","123","Tallapoosa, AL",12920,146024000,695
"G0101250","1983","Alabama","01","Tuscaloosa","125","Tuscaloosa, AL",30988,461620000,2559
"G0101270","1983","Alabama","01","Walker","127","Walker, AL",14701,252292000,1110
"G0101290","1983","Alabama","01","Washington","129","Washington, AL",2740,57579000,189
"G0101310","1983","Alabama","01","Wilcox","131","Wilcox, AL",2645,44809000,258
"G0101330","1983","Alabama","01","Winston","133","Winston, AL",7135,90019000,447
"G0109990","1983","Alabama","01","Remainder of Alabama","999","Alabama Statewide No Fixed Loc",2832,61893000,80
"G0200100","1983","Alaska","02","Aleutian Islands","010","Aleutian Islands, AK",1119,21232000,76
"G0200200","1983","Alaska","02","Anchorage","020","Anchorage, AK",76040,2203162000,6680
"G0200500","1983","Alaska","02","Bethel","050","Bethel, AK",1342,22255000,168
"G0200600","1983","Alaska","02","Bristol Bay Borough","060","Bristol Bay, AK",181,10623000,47
"G0200700","1983","Alaska","02","Dillingham","070","Dillingham (Bristol Bay), AK",1123,42783000,99
"G0200900","1983","Alaska","02","Fairbanks North Star","090","Fairbanks North Star, AK",14982,402736000,1678
"G0201000","1983","Alaska","02","Haines","100","Haines, AK",282,5251000,66
"G0201100","1983","Alaska","02","Juneau","110","Juneau, AK",5938,126283000,784
"G0201220","1983","Alaska","02","Kenai Peninsula","122","Kenai Peninsula, AK",6414,169954000,1022
"G0201300","1983","Alaska","02","Ketchikan Gateway","130","Ketchikan Gateway, AK",4652,123870000,463
"G0201400","1983","Alaska","02","Kobuk","140","Kobuk, AK",667,12866000,71
"G0201500","1983","Alaska","02","Kodiak Island","150","Kodiak Island, AK",3207,86191000,331
"G0201700","1983","Alaska","02","Matanuska-Susitna","170","Matanuska Susitna, AK",2967,74847000,661
