GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,C4S001,C4U001,C4V001
GIS Join Match Code,Data File Year,State Name,State Code,County Name,County Code,Area Name,Total mid-March employees,Total annual payroll,Total number of establishments
"G0100010","1975","Alabama","01","Autauga","001","Autauga, AL",4364,31453000,343
"G0100030","1975","Alabama","01","Baldwin","003","Baldwin, AL",11325,75964000,1288
"G0100050","1975","Alabama","01","Barbour","005","Barbour, AL",4660,29579000,440
"G0100070","1975","Alabama","01","Bibb","007","Bibb, AL",2292,15960000,190
"G0100090","1975","Alabama","01","Blount","009","Blount, AL",3446,23218000,364
"G0100110","1975","Alabama","01","Bullock","011","Bullock, AL",1683,10791000,146
"G0100130","1975","Alabama","01","Butler","013","Butler, AL",4141,27434000,415
"G0100150","1975","Alabama","01","Calhoun","015","Calhoun, AL",22649,165337000,1678
"G0100170","1975","Alabama","01","Chambers","017","Chambers, AL",12094,84137000,475
"G0100190","1975","Alabama","01","Cherokee","019","Cherokee, AL",2567,15693000,220
"G0100210","1975","Alabama","01","Chilton","021","Chilton, AL",3032,18637000,418
"G0100230","1975","Alabama","01","Choctaw","023","Choctaw, AL",3706,34278000,274
"G0100250","1975","Alabama","01","Clarke","025","Clarke, AL",5516,38638000,507
"G0100270","1975","Alabama","01","Clay","027","Clay, AL",1945,11552000,181
"G0100290","1975","Alabama","01","Cleburne","029","Cleburne, AL",1313,8381000,107
"G0100310","1975","Alabama","01","Coffee","031","Coffee, AL",6340,40662000,596
"G0100330","1975","Alabama","01","Colbert","033","Colbert, AL",15622,168249000,956
"G0100350","1975","Alabama","01","Conecuh","035","Conecuh, AL",2292,15895000,221
"G0100370","1975","Alabama","01","Coosa","037","Coosa, AL",1191,7431000,108
"G0100390","1975","Alabama","01","Covington","039","Covington, AL",9325,57831000,731
"G0100410","1975","Alabama","01","Crenshaw","041","Crenshaw, AL",1608,8940000,199
"G0100430","1975","Alabama","01","Cullman","043","Cullman, AL",9973,70163000,864
"G0100450","1975","Alabama","01","Dale","045","Dale, AL",5529,40042000,491
"G0100470","1975","Alabama","01","Dallas","047","Dallas, AL",12315,81699000,988
"G0100490","1975","Alabama","01","DeKalb","049","De Kalb, AL",6476,44270000,601
"G0100510","1975","Alabama","01","Elmore","051","Elmore, AL",3154,20689000,447
"G0100530","1975","Alabama","01","Escambia","053","Escambia, AL",6834,52102000,741
"G0100550","1975","Alabama","01","Etowah","055","Etowah, AL",23881,225210000,1674
"G0100570","1975","Alabama","01","Fayette","057","Fayette, AL",3988,34475000,283
"G0100590","1975","Alabama","01","Franklin","059","Franklin, AL",4446,29081000,399
"G0100610","1975","Alabama","01","Geneva","061","Geneva, AL",3763,22665000,352
"G0100630","1975","Alabama","01","Greene","063","Greene, AL",900,4801000,126
"G0100650","1975","Alabama","01","Hale","065","Hale, AL",1302,7332000,162
"G0100670","1975","Alabama","01","Henry","067","Henry, AL",2514,15451000,254
"G0100690","1975","Alabama","01","Houston","069","Houston, AL",21260,159815000,1569
"G0100710","1975","Alabama","01","Jackson","071","Jackson, AL",7964,70844000,586
"G0100730","1975","Alabama","01","Jefferson","073","Jefferson, AL",232271,2284712000,12183
"G0100750","1975","Alabama","01","Lamar","075","Lamar, AL",2666,17206000,209
"G0100770","1975","Alabama","01","Lauderdale","077","Lauderdale, AL",11124,81501000,1187
"G0100790","1975","Alabama","01","Lawrence","079","Lawrence, AL",2789,23837000,212
"G0100810","1975","Alabama","01","Lee","081","Lee, AL",14682,114322000,980
"G0100830","1975","Alabama","01","Limestone","083","Limestone, AL",5407,35335000,540
"G0100850","1975","Alabama","01","Lowndes","085","Lowndes, AL",977,6242000,104
"G0100870","1975","Alabama","01","Macon","087","Macon, AL",2560,18685000,203
"G0100890","1975","Alabama","01","Madison","089","Madison, AL",46910,399737000,3101
"G0100910","1975","Alabama","01","Marengo","091","Marengo, AL",4034,29978000,380
"G0100930","1975","Alabama","01","Marion","093","Marion, AL",6448,43325000,362
"G0100950","1975","Alabama","01","Marshall","095","Marshall, AL",11945,87749000,1117
"G0100970","1975","Alabama","01","Mobile","097","Mobile, AL",91665,808792000,6234
"G0100990","1975","Alabama","01","Monroe","099","Monroe, AL",4585,29153000,328
"G0101010","1975","Alabama","01","Montgomery","101","Montgomery, AL",56105,462284000,3824
"G0101030","1975","Alabama","01","Morgan","103","Morgan, AL",23274,215645000,1514
"G0101050","1975","Alabama","01","Perry","105","Perry, AL",1834,10461000,185
"G0101070","1975","Alabama","01","Pickens","107","Pickens, AL",3106,19750000,312
"G0101090","1975","Alabama","01","Pike","109","Pike, AL",5279,29927000,494
"G0101110","1975","Alabama","01","Randolph","111","Randolph, AL",3341,21376000,258
"G0101130","1975","Alabama","01","Russell","113","Russell, AL",5210,33445000,574
"G0101150","1975","Alabama","01","St Clair","115","St. Clair, AL",3963,28713000,402
"G0101170","1975","Alabama","01","Shelby","117","Shelby, AL",8823,75717000,699
"G0101190","1975","Alabama","01","Sumter","119","Sumter, AL",2769,17011000,237
"G0101210","1975","Alabama","01","Talladega","121","Talladega, AL",15069,122504000,934
"G0101230","1975","Alabama","01","Tallapoosa","123","Tallapoosa, AL",11691,73649000,620
"G0101250","1975","Alabama","01","Tuscaloosa","125","Tuscaloosa, AL",30209,243224000,2089
"G0101270","1975","Alabama","01","Walker","127","Walker, AL",11409,112035000,882
"G0101290","1975","Alabama","01","Washington","129","Washington, AL",2505,26813000,174
"G0101310","1975","Alabama","01","Wilcox","131","Wilcox, AL",0,0,207
"G0101330","1975","Alabama","01","Winston","133","Winston, AL",4751,34719000,334
"G0109990","1975","Alabama","01","Remainder of Alabama","999","Alabama Statewide No Fixed Loc",1398,11472000,592
"G0200100","1975","Alaska","02","Aleutian Islands","010","Aleutian Islands, AK",620,9903000,50
"G0200200","1975","Alaska","02","Anchorage","020","Anchorage, AK",45101,777768000,3676
"G0200300","1975","Alaska","02","Angoon","030","Angoon, AK",21,190000,5
"G0200400","1975","Alaska","02","Barrow","040","Barrow, AK",859,15879000,27
"G0200500","1975","Alaska","02","Bethel","050","Bethel, AK",719,6334000,85
"G0200600","1975","Alaska","02","Bristol Bay Borough","060","Bristol Bay, AK",97,917000,19
"G0200700","1975","Alaska","02","Dillingham","070","Dillingham (Bristol Bay), AK",482,5327000,60
"G0200800","1975","Alaska","02","Cordova-McCarthy","080","Cordova-McCarthy, AK",476,5726000,83
"G0200900","1975","Alaska","02","Fairbanks North Star","090","Fairbanks North Star, AK",18748,506639000,1057
"G0201000","1975","Alaska","02","Haines","100","Haines, AK",403,4378000,56
"G0201100","1975","Alaska","02","Juneau","110","Juneau, AK",3391,36686000,381
"G0201200","1975","Alaska","02","Kenai-Cook Inlet","120","Kenai-Cook Inlet, AK",3250,53266000,482
"G0201300","1975","Alaska","02","Ketchikan Gateway","130","Ketchikan Gateway, AK",3742,46419000,338
"G0201400","1975","Alaska","02","Kobuk","140","Kobuk, AK",277,3415000,44
"G0201500","1975","Alaska","02","Kodiak Island","150","Kodiak Island, AK",2052,28993000,334
"G0201600","1975","Alaska","02","Kuskokwim","160","Kuskokwim, AK",44,436000,16
"G0201700","1975","Alaska","02","Matanuska-Susitna","170","Matanuska Susitna, AK",749,11569000,177
"G0201800","1975","Alaska","02","Nome","180","Nome, AK",793,8743000,93
"G0201900","1975","Alaska","02","Outer Ketchikan","190","Outer Ketchikan, AK",77,815000,14
"G0202000","1975","Alaska","02","Prince Of Wales","200","Prince of Wales, AK",117,2407000,17
"G0202100","1975","Alaska","02","Seward","210","Seward, AK",528,6713000,78
"G0202200","1975","Alaska","02","Sitka","220","Sitka, AK",1614,24899000,161
"G0202300","1975","Alaska","02","Skagway-Yakutat","230","Skagway-Yakutat, AK",284,3259000,59
"G0202400","1975","Alaska","02","Southeast Fairbanks","240","Southeast Fairbanks, AK",301,2221000,52
"G0202500","1975","Alaska","02","Upper Yukon","250","Upper Yukon, AK",139,1714000,19
"G0202600","1975","Alaska","02","Valdez-Chitina-Whittier","260","Valdez-Chitina-Whittier, AK",970,30783000,108
"G0202700","1975","Alaska","02","Wade Hampton","270","Wade Hampton, AK",125,1386000,37
"G0202800","1975","Alaska","02","Wrangell-Petersburg","280","Wrangel-Petersburg, AK",1163,19405000,168
"G0202900","1975","Alaska","02","Yukon-Koyukuk","290","Yukon-Koyukuk, AK",216,3937000,57
"G0209990","1975","Alaska","02","Remainder of Alaska","999","Alaska Statewide No Fixed Loc",754,19467000,150
"G0400010","1975","Arizona","04","Apache","001","Apache, AZ",4056,29688000,281
"G0400030","1975","Arizona","04","Cochise","003","Cochise, AZ",10083,73851000,1109
"G0400050","1975","Arizona","04","Coconino","005","Coconino, AZ",10941,78402000,1289
"G0400070","1975","Arizona","04","Gila","007","Gila, AZ",7960,81584000,551
"G0400090","1975","Arizona","04","Graham","009","Graham, AZ",2117,13675000,319
"G0400110","1975","Arizona","04","Greenlee","011","Greenlee, AZ",0,0,116
"G0400130","1975","Arizona","04","Maricopa","013","Maricopa, AZ",339613,3212121000,23869
"G0400150","1975","Arizona","04","Mohave","015","Mohave, AZ",6967,56389000,839
"G0400170","1975","Arizona","04","Navajo","017","Navajo, AZ",9579,75876000,942
"G0400190","1975","Arizona","04","Pima","019","Pima, AZ",103171,887554000,7957
"G0400210","1975","Arizona","04","Pinal","021","Pinal, AZ",16042,158170000,1072
