GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,DZ6001,DZ8001,DZ9001
GIS Join Match Code,Data File Year,State Name,State Code,County Name,County Code,Area Name,Total mid-March employees,Total annual payroll,Total number of establishments
"G0100010","1991","Alabama","01","Autauga","001","Autauga, AL",6811,124325000,627
"G0100030","1991","Alabama","01","Baldwin","003","Baldwin, AL",24019,362332000,2489
"G0100050","1991","Alabama","01","Barbour","005","Barbour, AL",7254,109539000,509
"G0100070","1991","Alabama","01","Bibb","007","Bibb, AL",3055,42606000,267
"G0100090","1991","Alabama","01","Blount","009","Blount, AL",6184,84759000,532
"G0100110","1991","Alabama","01","Bullock","011","Bullock, AL",1949,26585000,133
"G0100130","1991","Alabama","01","Butler","013","Butler, AL",4778,73053000,451
"G0100150","1991","Alabama","01","Calhoun","015","Calhoun, AL",33824,570725000,2308
"G0100170","1991","Alabama","01","Chambers","017","Chambers, AL",11705,187339000,556
"G0100190","1991","Alabama","01","Cherokee","019","Cherokee, AL",3525,51627000,282
"G0100210","1991","Alabama","01","Chilton","021","Chilton, AL",5359,77961000,614
"G0100230","1991","Alabama","01","Choctaw","023","Choctaw, AL",4747,131430000,327
"G0100250","1991","Alabama","01","Clarke","025","Clarke, AL",7162,123418000,613
"G0100270","1991","Alabama","01","Clay","027","Clay, AL",3304,46491000,222
"G0100290","1991","Alabama","01","Cleburne","029","Cleburne, AL",1929,29916000,147
"G0100310","1991","Alabama","01","Coffee","031","Coffee, AL",11936,170077000,885
"G0100330","1991","Alabama","01","Colbert","033","Colbert, AL",18390,364926000,1272
"G0100350","1991","Alabama","01","Conecuh","035","Conecuh, AL",3130,50769000,255
"G0100370","1991","Alabama","01","Coosa","037","Coosa, AL",1466,25528000,126
"G0100390","1991","Alabama","01","Covington","039","Covington, AL",11196,173475000,818
"G0100410","1991","Alabama","01","Crenshaw","041","Crenshaw, AL",2869,38793000,209
"G0100430","1991","Alabama","01","Cullman","043","Cullman, AL",17525,303578000,1335
"G0100450","1991","Alabama","01","Dale","045","Dale, AL",10122,192398000,735
"G0100470","1991","Alabama","01","Dallas","047","Dallas, AL",14627,232272000,983
"G0100490","1991","Alabama","01","DeKalb","049","De Kalb, AL",16553,263324000,1058
"G0100510","1991","Alabama","01","Elmore","051","Elmore, AL",6930,99278000,784
"G0100530","1991","Alabama","01","Escambia","053","Escambia, AL",9628,160272000,790
"G0100550","1991","Alabama","01","Etowah","055","Etowah, AL",30602,561087000,1964
"G0100570","1991","Alabama","01","Fayette","057","Fayette, AL",4242,79769000,329
"G0100590","1991","Alabama","01","Franklin","059","Franklin, AL",8035,119729000,567
"G0100610","1991","Alabama","01","Geneva","061","Geneva, AL",4759,68486000,388
"G0100630","1991","Alabama","01","Greene","063","Greene, AL",1458,18617000,150
"G0100650","1991","Alabama","01","Hale","065","Hale, AL",2321,30306000,192
"G0100670","1991","Alabama","01","Henry","067","Henry, AL",3856,57045000,303
"G0100690","1991","Alabama","01","Houston","069","Houston, AL",38147,688040000,2447
"G0100710","1991","Alabama","01","Jackson","071","Jackson, AL",11410,206804000,816
"G0100730","1991","Alabama","01","Jefferson","073","Jefferson, AL",336778,7749590000,17587
"G0100750","1991","Alabama","01","Lamar","075","Lamar, AL",5601,94393000,305
"G0100770","1991","Alabama","01","Lauderdale","077","Lauderdale, AL",25223,396357000,1834
"G0100790","1991","Alabama","01","Lawrence","079","Lawrence, AL",3897,99896000,325
"G0100810","1991","Alabama","01","Lee","081","Lee, AL",24253,425358000,1539
"G0100830","1991","Alabama","01","Limestone","083","Limestone, AL",13485,316921000,833
"G0100850","1991","Alabama","01","Lowndes","085","Lowndes, AL",1476,30180000,142
"G0100870","1991","Alabama","01","Macon","087","Macon, AL",5453,90755000,236
"G0100890","1991","Alabama","01","Madison","089","Madison, AL",101845,2373527000,5823
"G0100910","1991","Alabama","01","Marengo","091","Marengo, AL",6660,137643000,448
"G0100930","1991","Alabama","01","Marion","093","Marion, AL",8055,133848000,524
"G0100950","1991","Alabama","01","Marshall","095","Marshall, AL",26219,409990000,1741
"G0100970","1991","Alabama","01","Mobile","097","Mobile, AL",134672,2619540000,8683
"G0100990","1991","Alabama","01","Monroe","099","Monroe, AL",9142,189753000,424
"G0101010","1991","Alabama","01","Montgomery","101","Montgomery, AL",88377,1680278000,5539
"G0101030","1991","Alabama","01","Morgan","103","Morgan, AL",36242,736691000,2469
"G0101050","1991","Alabama","01","Perry","105","Perry, AL",1903,25436000,175
"G0101070","1991","Alabama","01","Pickens","107","Pickens, AL",3299,45124000,362
"G0101090","1991","Alabama","01","Pike","109","Pike, AL",8405,126387000,641
"G0101110","1991","Alabama","01","Randolph","111","Randolph, AL",3865,57864000,316
"G0101130","1991","Alabama","01","Russell","113","Russell, AL",8842,165852000,792
"G0101150","1991","Alabama","01","St Clair","115","St. Clair, AL",7399,121353000,730
"G0101170","1991","Alabama","01","Shelby","117","Shelby, AL",17532,332732000,1511
"G0101190","1991","Alabama","01","Sumter","119","Sumter, AL",3163,53097000,217
"G0101210","1991","Alabama","01","Talladega","121","Talladega, AL",17632,338234000,1204
"G0101230","1991","Alabama","01","Tallapoosa","123","Tallapoosa, AL",16891,298801000,714
"G0101250","1991","Alabama","01","Tuscaloosa","125","Tuscaloosa, AL",48413,887097000,3332
"G0101270","1991","Alabama","01","Walker","127","Walker, AL",14964,295533000,1344
