GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,DZ6001,DZ8001,DZ9001
GIS Join Match Code,Data File Year,State Name,State Code,County Name,County Code,Area Name,Total mid-March employees,Total annual payroll,Total number of establishments
"G0100010","1993","Alabama","01","Autauga","001","Autauga, AL",7402,137012000,660
"G0100030","1993","Alabama","01","Baldwin","003","Baldwin, AL",28515,461168000,2896
"G0100050","1993","Alabama","01","Barbour","005","Barbour, AL",7190,131887000,559
"G0100070","1993","Alabama","01","Bibb","007","Bibb, AL",3626,60286000,300
"G0100090","1993","Alabama","01","Blount","009","Blount, AL",7233,114054000,619
"G0100110","1993","Alabama","01","Bullock","011","Bullock, AL",2308,31563000,135
"G0100130","1993","Alabama","01","Butler","013","Butler, AL",4963,85685000,471
"G0100150","1993","Alabama","01","Calhoun","015","Calhoun, AL",36361,642742000,2425
"G0100170","1993","Alabama","01","Chambers","017","Chambers, AL",11869,218222000,585
"G0100190","1993","Alabama","01","Cherokee","019","Cherokee, AL",3318,49753000,301
"G0100210","1993","Alabama","01","Chilton","021","Chilton, AL",5675,83916000,661
"G0100230","1993","Alabama","01","Choctaw","023","Choctaw, AL",4765,129000000,333
"G0100250","1993","Alabama","01","Clarke","025","Clarke, AL",7295,131146000,679
"G0100270","1993","Alabama","01","Clay","027","Clay, AL",4189,61722000,230
"G0100290","1993","Alabama","01","Cleburne","029","Cleburne, AL",2018,33080000,167
"G0100310","1993","Alabama","01","Coffee","031","Coffee, AL",13097,197316000,905
"G0100330","1993","Alabama","01","Colbert","033","Colbert, AL",18466,397159000,1339
"G0100350","1993","Alabama","01","Conecuh","035","Conecuh, AL",3413,64725000,261
"G0100370","1993","Alabama","01","Coosa","037","Coosa, AL",1619,30192000,134
"G0100390","1993","Alabama","01","Covington","039","Covington, AL",11365,183832000,845
"G0100410","1993","Alabama","01","Crenshaw","041","Crenshaw, AL",3143,44417000,246
"G0100430","1993","Alabama","01","Cullman","043","Cullman, AL",18892,351305000,1455
"G0100450","1993","Alabama","01","Dale","045","Dale, AL",10930,215638000,813
"G0100470","1993","Alabama","01","Dallas","047","Dallas, AL",14607,254831000,992
"G0100490","1993","Alabama","01","DeKalb","049","De Kalb, AL",18466,321752000,1146
"G0100510","1993","Alabama","01","Elmore","051","Elmore, AL",7854,130174000,861
"G0100530","1993","Alabama","01","Escambia","053","Escambia, AL",10401,191749000,825
"G0100550","1993","Alabama","01","Etowah","055","Etowah, AL",31241,626738000,2043
"G0100570","1993","Alabama","01","Fayette","057","Fayette, AL",4870,94467000,338
"G0100590","1993","Alabama","01","Franklin","059","Franklin, AL",9012,142539000,591
"G0100610","1993","Alabama","01","Geneva","061","Geneva, AL",5385,81643000,416
"G0100630","1993","Alabama","01","Greene","063","Greene, AL",1491,19682000,138
"G0100650","1993","Alabama","01","Hale","065","Hale, AL",2615,38022000,202
"G0100670","1993","Alabama","01","Henry","067","Henry, AL",3788,62410000,311
"G0100690","1993","Alabama","01","Houston","069","Houston, AL",41033,848846000,2499
"G0100710","1993","Alabama","01","Jackson","071","Jackson, AL",12945,247997000,904
"G0100730","1993","Alabama","01","Jefferson","073","Jefferson, AL",337279,8400658000,17495
"G0100750","1993","Alabama","01","Lamar","075","Lamar, AL",5177,87356000,305
"G0100770","1993","Alabama","01","Lauderdale","077","Lauderdale, AL",26367,454826000,1932
"G0100790","1993","Alabama","01","Lawrence","079","Lawrence, AL",4901,141327000,348
"G0100810","1993","Alabama","01","Lee","081","Lee, AL",26792,500751000,1723
"G0100830","1993","Alabama","01","Limestone","083","Limestone, AL",14976,339385000,898
"G0100850","1993","Alabama","01","Lowndes","085","Lowndes, AL",1520,36699000,149
"G0100870","1993","Alabama","01","Macon","087","Macon, AL",5060,102532000,238
"G0100890","1993","Alabama","01","Madison","089","Madison, AL",113071,2892334000,6238
"G0100910","1993","Alabama","01","Marengo","091","Marengo, AL",6274,122904000,486
"G0100930","1993","Alabama","01","Marion","093","Marion, AL",9476,174738000,557
"G0100950","1993","Alabama","01","Marshall","095","Marshall, AL",30630,510540000,1879
"G0100970","1993","Alabama","01","Mobile","097","Mobile, AL",147179,3089497000,8992
"G0100990","1993","Alabama","01","Monroe","099","Monroe, AL",8501,193968000,439
"G0101010","1993","Alabama","01","Montgomery","101","Montgomery, AL",92931,1927641000,5856
"G0101030","1993","Alabama","01","Morgan","103","Morgan, AL",38048,814642000,2612
"G0101050","1993","Alabama","01","Perry","105","Perry, AL",2461,33759000,160
"G0101070","1993","Alabama","01","Pickens","107","Pickens, AL",3474,49683000,371
"G0101090","1993","Alabama","01","Pike","109","Pike, AL",8850,143201000,638
"G0101110","1993","Alabama","01","Randolph","111","Randolph, AL",4477,72368000,343
"G0101130","1993","Alabama","01","Russell","113","Russell, AL",10239,199777000,813
"G0101150","1993","Alabama","01","St Clair","115","St. Clair, AL",8507,152755000,841
"G0101170","1993","Alabama","01","Shelby","117","Shelby, AL",28767,655337000,2242
"G0101190","1993","Alabama","01","Sumter","119","Sumter, AL",3472,67682000,255
"G0101210","1993","Alabama","01","Talladega","121","Talladega, AL",18924,383615000,1256
"G0101230","1993","Alabama","01","Tallapoosa","123","Tallapoosa, AL",19022,318318000,747
"G0101250","1993","Alabama","01","Tuscaloosa","125","Tuscaloosa, AL",54967,1179665000,3508
"G0101270","1993","Alabama","01","Walker","127","Walker, AL",15005,308508000,1399
"G0101290","1993","Alabama","01","Washington","129","Washington, AL",3480,106636000,272
"G0101310","1993","Alabama","01","Wilcox","131","Wilcox, AL",2639,64539000,246
"G0101330","1993","Alabama","01","Winston","133","Winston, AL",9467,162489000,511
"G0109990","1993","Alabama","01","Remainder of Alabama","999","Alabama Statewide No Fixed Loc",3847,103104000,54
"G0200130","1993","Alaska","02","Aleutians East","013","Aleutians East, AK",1410,19330000,56
"G0200160","1993","Alaska","02","Aleutians West","016","Aleutians West, AK",4321,79024000,114
"G0200200","1993","Alaska","02","Anchorage","020","Anchorage, AK",93037,3224792000,7299
"G0200500","1993","Alaska","02","Bethel","050","Bethel, AK",2269,47452000,205
"G0200600","1993","Alaska","02","Bristol Bay Borough","060","Bristol Bay, AK",392,17353000,67
"G0200680","1993","Alaska","02","Denali","068","Denali, AK",426,22407000,53
"G0200700","1993","Alaska","02","Dillingham","070","Dillingham (Bristol Bay), AK",1060,33944000,112
