GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,DZ6001,DZ8001,DZ9001
GIS Join Match Code,Data File Year,State Name,State Code,County Name,County Code,Area Name,Total mid-March employees,Total annual payroll,Total number of establishments
"G0100010","1995","Alabama","01","Autauga","001","Autauga, AL",7898,154385000,691
"G0100030","1995","Alabama","01","Baldwin","003","Baldwin, AL",34395,583979000,3238
"G0100050","1995","Alabama","01","Barbour","005","Barbour, AL",8512,160105000,554
"G0100070","1995","Alabama","01","Bibb","007","Bibb, AL",4001,70814000,327
"G0100090","1995","Alabama","01","Blount","009","Blount, AL",9238,149988000,695
"G0100110","1995","Alabama","01","Bullock","011","Bullock, AL",2416,36061000,150
"G0100130","1995","Alabama","01","Butler","013","Butler, AL",6290,107848000,513
"G0100150","1995","Alabama","01","Calhoun","015","Calhoun, AL",38500,722476000,2540
"G0100170","1995","Alabama","01","Chambers","017","Chambers, AL",11706,234762000,597
"G0100190","1995","Alabama","01","Cherokee","019","Cherokee, AL",3567,52941000,336
"G0100210","1995","Alabama","01","Chilton","021","Chilton, AL",6376,103667000,723
"G0100230","1995","Alabama","01","Choctaw","023","Choctaw, AL",4922,136611000,321
"G0100250","1995","Alabama","01","Clarke","025","Clarke, AL",9167,161658000,706
"G0100270","1995","Alabama","01","Clay","027","Clay, AL",4556,74399000,231
"G0100290","1995","Alabama","01","Cleburne","029","Cleburne, AL",2422,40165000,184
"G0100310","1995","Alabama","01","Coffee","031","Coffee, AL",13386,213266000,930
"G0100330","1995","Alabama","01","Colbert","033","Colbert, AL",19760,458189000,1392
"G0100350","1995","Alabama","01","Conecuh","035","Conecuh, AL",3793,72180000,253
"G0100370","1995","Alabama","01","Coosa","037","Coosa, AL",1782,32828000,140
"G0100390","1995","Alabama","01","Covington","039","Covington, AL",12525,213468000,914
"G0100410","1995","Alabama","01","Crenshaw","041","Crenshaw, AL",3557,52669000,253
