GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,C4S001,C4U001,C4V001
GIS Join Match Code,Data File Year,State Name,State Code,County Name,County Code,Area Name,Total mid-March employees,Total annual payroll,Total number of establishments
"G0100010","1978","Alabama","01","Autauga","001","Autauga, AL",5323,50159000,389
"G0100030","1978","Alabama","01","Baldwin","003","Baldwin, AL",13725,111694000,1451
"G0100050","1978","Alabama","01","Barbour","005","Barbour, AL",5711,52473000,455
"G0100070","1978","Alabama","01","Bibb","007","Bibb, AL",2499,19091000,191
"G0100090","1978","Alabama","01","Blount","009","Blount, AL",3822,32566000,409
"G0100110","1978","Alabama","01","Bullock","011","Bullock, AL",1873,12546000,164
"G0100130","1978","Alabama","01","Butler","013","Butler, AL",5060,42334000,402
"G0100150","1978","Alabama","01","Calhoun","015","Calhoun, AL",27191,244611000,1811
"G0100170","1978","Alabama","01","Chambers","017","Chambers, AL",12545,113441000,485
"G0100190","1978","Alabama","01","Cherokee","019","Cherokee, AL",2596,21490000,234
"G0100210","1978","Alabama","01","Chilton","021","Chilton, AL",3728,27377000,428
"G0100230","1978","Alabama","01","Choctaw","023","Choctaw, AL",4200,48242000,283
"G0100250","1978","Alabama","01","Clarke","025","Clarke, AL",6303,55616000,515
"G0100270","1978","Alabama","01","Clay","027","Clay, AL",2613,18890000,191
"G0100290","1978","Alabama","01","Cleburne","029","Cleburne, AL",1493,11833000,121
"G0100310","1978","Alabama","01","Coffee","031","Coffee, AL",8520,69249000,666
"G0100330","1978","Alabama","01","Colbert","033","Colbert, AL",18492,266376000,1024
"G0100350","1978","Alabama","01","Conecuh","035","Conecuh, AL",2978,27062000,218
"G0100370","1978","Alabama","01","Coosa","037","Coosa, AL",1380,11118000,115
"G0100390","1978","Alabama","01","Covington","039","Covington, AL",10623,80069000,783
"G0100410","1978","Alabama","01","Crenshaw","041","Crenshaw, AL",2141,14671000,212
"G0100430","1978","Alabama","01","Cullman","043","Cullman, AL",12535,103892000,969
"G0100450","1978","Alabama","01","Dale","045","Dale, AL",6846,62804000,538
"G0100470","1978","Alabama","01","Dallas","047","Dallas, AL",13951,116044000,985
"G0100490","1978","Alabama","01","DeKalb","049","De Kalb, AL",9734,82349000,696
"G0100510","1978","Alabama","01","Elmore","051","Elmore, AL",4640,35566000,533
"G0100530","1978","Alabama","01","Escambia","053","Escambia, AL",8497,72408000,735
"G0100550","1978","Alabama","01","Etowah","055","Etowah, AL",28076,345233000,1641
"G0100570","1978","Alabama","01","Fayette","057","Fayette, AL",4668,42407000,268
"G0100590","1978","Alabama","01","Franklin","059","Franklin, AL",5644,44587000,438
"G0100610","1978","Alabama","01","Geneva","061","Geneva, AL",3923,30779000,337
"G0100630","1978","Alabama","01","Greene","063","Greene, AL",1552,9775000,133
"G0100650","1978","Alabama","01","Hale","065","Hale, AL",1298,8996000,168
"G0100670","1978","Alabama","01","Henry","067","Henry, AL",3169,24175000,246
"G0100690","1978","Alabama","01","Houston","069","Houston, AL",25506,230946000,1728
"G0100710","1978","Alabama","01","Jackson","071","Jackson, AL",9919,110789000,661
"G0100730","1978","Alabama","01","Jefferson","073","Jefferson, AL",261859,3190698000,13222
"G0100750","1978","Alabama","01","Lamar","075","Lamar, AL",4033,33271000,229
"G0100770","1978","Alabama","01","Lauderdale","077","Lauderdale, AL",15166,131894000,1350
"G0100790","1978","Alabama","01","Lawrence","079","Lawrence, AL",3431,33572000,223
"G0100810","1978","Alabama","01","Lee","081","Lee, AL",17808,172008000,1086
"G0100830","1978","Alabama","01","Limestone","083","Limestone, AL",7304,73896000,536
"G0100850","1978","Alabama","01","Lowndes","085","Lowndes, AL",1306,9589000,121
"G0100870","1978","Alabama","01","Macon","087","Macon, AL",3128,23971000,220
"G0100890","1978","Alabama","01","Madison","089","Madison, AL",60505,638732000,3450
"G0100910","1978","Alabama","01","Marengo","091","Marengo, AL",4557,44491000,395
"G0100930","1978","Alabama","01","Marion","093","Marion, AL",7635,68668000,452
"G0100950","1978","Alabama","01","Marshall","095","Marshall, AL",15116,134724000,1211
"G0100970","1978","Alabama","01","Mobile","097","Mobile, AL",108047,1149673000,6837
"G0100990","1978","Alabama","01","Monroe","099","Monroe, AL",5458,50142000,330
"G0101010","1978","Alabama","01","Montgomery","101","Montgomery, AL",71007,698713000,4176
"G0101030","1978","Alabama","01","Morgan","103","Morgan, AL",28739,325210000,1736
