GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,FIG001,FII001,FIJ001
GIS Join Match Code,Data File Year,State Name,State Code,County Name,County Code,Area Name,Total mid-March employees,Total annual payroll,Total number of establishments
"G0100010","2002","Alabama","01","Autauga","001","Autauga, AL",9962,225866000,833
"G0100030","2002","Alabama","01","Baldwin","003","Baldwin, AL",43150,1007701000,4122
"G0100050","2002","Alabama","01","Barbour","005","Barbour, AL",9980,222138000,552
"G0100070","2002","Alabama","01","Bibb","007","Bibb, AL",2586,58082000,315
"G0100090","2002","Alabama","01","Blount","009","Blount, AL",6973,155987000,696
"G0100110","2002","Alabama","01","Bullock","011","Bullock, AL",2045,43514000,139
"G0100130","2002","Alabama","01","Butler","013","Butler, AL",5466,115510000,494
"G0100150","2002","Alabama","01","Calhoun","015","Calhoun, AL",38373,959435000,2570
"G0100170","2002","Alabama","01","Chambers","017","Chambers, AL",10207,263408000,615
"G0100190","2002","Alabama","01","Cherokee","019","Cherokee, AL",3025,66838000,356
"G0100210","2002","Alabama","01","Chilton","021","Chilton, AL",6495,143810000,779
"G0100230","2002","Alabama","01","Choctaw","023","Choctaw, AL",3580,129066000,308
"G0100250","2002","Alabama","01","Clarke","025","Clarke, AL",7258,174371000,689
"G0100270","2002","Alabama","01","Clay","027","Clay, AL",4810,94159000,236
"G0100290","2002","Alabama","01","Cleburne","029","Cleburne, AL",2165,52173000,179
"G0100310","2002","Alabama","01","Coffee","031","Coffee, AL",11059,223116000,945
"G0100330","2002","Alabama","01","Colbert","033","Colbert, AL",17941,439843000,1326
"G0100350","2002","Alabama","01","Conecuh","035","Conecuh, AL",3287,78291000,236
"G0100370","2002","Alabama","01","Coosa","037","Coosa, AL",1146,27017000,110
"G0100390","2002","Alabama","01","Covington","039","Covington, AL",10865,259468000,895
"G0100410","2002","Alabama","01","Crenshaw","041","Crenshaw, AL",2780,58650000,270
"G0100430","2002","Alabama","01","Cullman","043","Cullman, AL",22437,547103000,1676
"G0100450","2002","Alabama","01","Dale","045","Dale, AL",8572,190193000,817
"G0100470","2002","Alabama","01","Dallas","047","Dallas, AL",13977,338997000,910
"G0100490","2002","Alabama","01","DeKalb","049","De Kalb, AL",21434,520816000,1261
"G0100510","2002","Alabama","01","Elmore","051","Elmore, AL",11445,266875000,1052
"G0100530","2002","Alabama","01","Escambia","053","Escambia, AL",9647,233061000,822
"G0100550","2002","Alabama","01","Etowah","055","Etowah, AL",32472,766371000,2173
"G0100570","2002","Alabama","01","Fayette","057","Fayette, AL",4308,95899000,351
"G0100590","2002","Alabama","01","Franklin","059","Franklin, AL",7701,178975000,575
"G0100610","2002","Alabama","01","Geneva","061","Geneva, AL",3943,81342000,492
"G0100630","2002","Alabama","01","Greene","063","Greene, AL",1393,28113000,131
"G0100650","2002","Alabama","01","Hale","065","Hale, AL",2651,58861000,214
"G0100670","2002","Alabama","01","Henry","067","Henry, AL",3853,90135000,331
"G0100690","2002","Alabama","01","Houston","069","Houston, AL",47016,1263877000,2792
"G0100710","2002","Alabama","01","Jackson","071","Jackson, AL",12810,333442000,877
"G0100730","2002","Alabama","01","Jefferson","073","Jefferson, AL",346939,12101916000,17516
"G0100750","2002","Alabama","01","Lamar","075","Lamar, AL",5761,138387000,290
"G0100770","2002","Alabama","01","Lauderdale","077","Lauderdale, AL",25317,579008000,1999
"G0100790","2002","Alabama","01","Lawrence","079","Lawrence, AL",4334,148011000,421
"G0100810","2002","Alabama","01","Lee","081","Lee, AL",33307,801126000,2077
"G0100830","2002","Alabama","01","Limestone","083","Limestone, AL",15496,485282000,1130
"G0100850","2002","Alabama","01","Lowndes","085","Lowndes, AL",2233,88624000,148
"G0100870","2002","Alabama","01","Macon","087","Macon, AL",5033,151982000,230
"G0100890","2002","Alabama","01","Madison","089","Madison, AL",129354,4466151000,7375
"G0100910","2002","Alabama","01","Marengo","091","Marengo, AL",6382,161672000,516
"G0100930","2002","Alabama","01","Marion","093","Marion, AL",6965,178607000,562
"G0100950","2002","Alabama","01","Marshall","095","Marshall, AL",30534,681433000,1919
"G0100970","2002","Alabama","01","Mobile","097","Mobile, AL",153632,4305482000,9153
"G0100990","2002","Alabama","01","Monroe","099","Monroe, AL",8161,232383000,431
"G0101010","2002","Alabama","01","Montgomery","101","Montgomery, AL",104533,2983904000,5932
"G0101030","2002","Alabama","01","Morgan","103","Morgan, AL",45184,1233827000,2770
"G0101050","2002","Alabama","01","Perry","105","Perry, AL",1983,40757000,154
"G0101070","2002","Alabama","01","Pickens","107","Pickens, AL",3036,62539000,337
"G0101090","2002","Alabama","01","Pike","109","Pike, AL",9269,212663000,651
"G0101110","2002","Alabama","01","Randolph","111","Randolph, AL",4405,91713000,384
"G0101130","2002","Alabama","01","Russell","113","Russell, AL",9437,204982000,841
"G0101150","2002","Alabama","01","St Clair","115","St. Clair, AL",11197,269085000,1139
"G0101170","2002","Alabama","01","Shelby","117","Shelby, AL",61665,2088690000,4055
"G0101190","2002","Alabama","01","Sumter","119","Sumter, AL",2813,62471000,241
"G0101210","2002","Alabama","01","Talladega","121","Talladega, AL",21316,614118000,1342
"G0101230","2002","Alabama","01","Tallapoosa","123","Tallapoosa, AL",19541,466794000,802
"G0101250","2002","Alabama","01","Tuscaloosa","125","Tuscaloosa, AL",67154,1880513000,3953
"G0101270","2002","Alabama","01","Walker","127","Walker, AL",15070,370853000,1367
"G0101290","2002","Alabama","01","Washington","129","Washington, AL",2878,115201000,254
"G0101310","2002","Alabama","01","Wilcox","131","Wilcox, AL",2320,91926000,224
"G0101330","2002","Alabama","01","Winston","133","Winston, AL",8634,184807000,528
"G0109990","2002","Alabama","01","Remainder of Alabama","999","Alabama Statewide No Fixed Loc",10422,178178000,51
"G0200130","2002","Alaska","02","Aleutians East","013","Aleutians East, AK",1913,38288000,44
"G0200160","2002","Alaska","02","Aleutians West","016","Aleutians West, AK",4598,91437000,121
"G0200200","2002","Alaska","02","Anchorage","020","Anchorage, AK",116914,5085149000,8036
"G0200500","2002","Alaska","02","Bethel","050","Bethel, AK",3643,109350000,228
"G0200600","2002","Alaska","02","Bristol Bay Borough","060","Bristol Bay, AK",304,19800000,67
"G0200680","2002","Alaska","02","Denali","068","Denali, AK",318,23656000,79
"G0200700","2002","Alaska","02","Dillingham","070","Dillingham (Bristol Bay), AK",1141,40091000,92
"G0200900","2002","Alaska","02","Fairbanks North Star","090","Fairbanks North Star, AK",24597,873953000,2263
"G0201000","2002","Alaska","02","Haines","100","Haines, AK",390,13516000,110
"G0201100","2002","Alaska","02","Juneau","110","Juneau, AK",9789,331977000,1094
"G0201220","2002","Alaska","02","Kenai Peninsula","122","Kenai Peninsula, AK",11900,426119000,1839
"G0201300","2002","Alaska","02","Ketchikan Gateway","130","Ketchikan Gateway, AK",4683,169738000,560
"G0201500","2002","Alaska","02","Kodiak Island","150","Kodiak Island, AK",4200,124744000,448
"G0201640","2002","Alaska","02","Lake And Peninsula","164","Lake and Pennisula, AK",124,6296000,52
"G0201700","2002","Alaska","02","Matanuska-Susitna","170","Matanuska Susitna, AK",10221,317576000,1577
"G0201800","2002","Alaska","02","Nome","180","Nome, AK",1929,60275000,189
"G0201850","2002","Alaska","02","North Slope","185","North Slope, AK",1934,83479000,140
"G0201880","2002","Alaska","02","Northwest Arctic","188","Northwest Arctic, AK",1842,86747000,81
"G0202010","2002","Alaska","02","Prince Of Wales-Outer Ketchikan","201","Prince of Wales-Outer Ketchikan , AK",797,22738000,159
"G0202200","2002","Alaska","02","Sitka","220","Sitka, AK",3138,95636000,398
"G0202320","2002","Alaska","02","Skagway-Hoonah-Angoon","232","Skagway-Hoonah-Angoon, AK",546,25912000,177
"G0202400","2002","Alaska","02","Southeast Fairbanks","240","Southeast Fairbanks, AK",634,19902000,151
"G0202610","2002","Alaska","02","Valdez-Cordova","261","Valdez-Cordova, AK",2730,136548000,445
"G0202700","2002","Alaska","02","Wade Hampton","270","Wade Hampton, AK",598,9298000,57
"G0202800","2002","Alaska","02","Wrangell-Petersburg","280","Wrangel-Petersburg, AK",1590,50448000,267
"G0202820","2002","Alaska","02","Yakutat","282","Yakutat City and Borough, AK",226,9309000,35
"G0202900","2002","Alaska","02","Yukon-Koyukuk","290","Yukon-Koyukuk, AK",591,15636000,124
"G0209990","2002","Alaska","02","Remainder of Alaska","999","Alaska Statewide No Fixed Loc",2310,151336000,23
"G0400010","2002","Arizona","04","Apache","001","Apache, AZ",5818,124189000,519
"G0400030","2002","Arizona","04","Cochise","003","Cochise, AZ",25603,590144000,2280
"G0400050","2002","Arizona","04","Coconino","005","Coconino, AZ",39167,964739000,3608
"G0400070","2002","Arizona","04","Gila","007","Gila, AZ",12793,317333000,1147
"G0400090","2002","Arizona","04","Graham","009","Graham, AZ",5270,96221000,497
"G0400110","2002","Arizona","04","Greenlee","011","Greenlee, AZ",2703,102810000,93
"G0400120","2002","Arizona","04","La Paz","012","La Paz, AZ",3889,78926000,353
"G0400130","2002","Arizona","04","Maricopa","013","Maricopa, AZ",1361929,45666424000,75292
"G0400150","2002","Arizona","04","Mohave","015","Mohave, AZ",38200,900748000,3695
"G0400170","2002","Arizona","04","Navajo","017","Navajo, AZ",18322,450511000,1777
"G0400190","2002","Arizona","04","Pima","019","Pima, AZ",293113,8672039000,19147
"G0400210","2002","Arizona","04","Pinal","021","Pinal, AZ",28504,667532000,2247
"G0400230","2002","Arizona","04","Santa Cruz","023","Santa Cruz, AZ",10087,224668000,1103
"G0400250","2002","Arizona","04","Yavapai","025","Yavapai, AZ",49244,1165561000,5382
"G0400270","2002","Arizona","04","Yuma","027","Yuma, AZ",36268,773240000,2560
"G0409990","2002","Arizona","04","Remainder of Arizona","999","Arizona Statewide No Fixed Loc",14562,313265000,40
"G0500010","2002","Arkansas","05","Arkansas","001","Arkansas, AR",8397,215870000,614
"G0500030","2002","Arkansas","05","Ashley","003","Ashley, AR",7847,256285000,489
"G0500050","2002","Arkansas","05","Baxter","005","Baxter, AR",11819,286036000,1045
"G0500070","2002","Arkansas","05","Benton","007","Benton, AR",77065,2350062000,3965
"G0500090","2002","Arkansas","05","Boone","009","Boone, AR",13092,328789000,933
"G0500110","2002","Arkansas","05","Bradley","011","Bradley, AR",3342,73673000,297
"G0500130","2002","Arkansas","05","Calhoun","013","Calhoun, AR",859,18583000,79
"G0500150","2002","Arkansas","05","Carroll","015","Carroll, AR",8495,174513000,776
"G0500170","2002","Arkansas","05","Chicot","017","Chicot, AR",2967,54363000,271
"G0500190","2002","Arkansas","05","Clark","019","Clark, AR",8223,187002000,575
"G0500210","2002","Arkansas","05","Clay","021","Clay, AR",4256,83386000,325
"G0500230","2002","Arkansas","05","Cleburne","023","Cleburne, AR",5482,115672000,611
"G0500250","2002","Arkansas","05","Cleveland","025","Cleveland, AR",753,14309000,101
"G0500270","2002","Arkansas","05","Columbia","027","Columbia, AR",8400,206850000,625
"G0500290","2002","Arkansas","05","Conway","029","Conway, AR",5835,142678000,412
"G0500310","2002","Arkansas","05","Craighead","031","Craighead, AR",35203,870853000,2295
"G0500330","2002","Arkansas","05","Crawford","033","Crawford, AR",15637,386453000,965
"G0500350","2002","Arkansas","05","Crittenden","035","Crittenden, AR",14649,349093000,974
"G0500370","2002","Arkansas","05","Cross","037","Cross, AR",5039,113126000,408
"G0500390","2002","Arkansas","05","Dallas","039","Dallas, AR",2672,59637000,262
"G0500410","2002","Arkansas","05","Desha","041","Desha, AR",3840,97672000,399
"G0500430","2002","Arkansas","05","Drew","043","Drew, AR",5864,115260000,456
"G0500450","2002","Arkansas","05","Faulkner","045","Faulkner, AR",30245,739302000,1925
"G0500470","2002","Arkansas","05","Franklin","047","Franklin, AR",3355,70223000,280
"G0500490","2002","Arkansas","05","Fulton","049","Fulton, AR",1256,21762000,181
"G0500510","2002","Arkansas","05","Garland","051","Garland, AR",31423,736731000,2681
"G0500530","2002","Arkansas","05","Grant","053","Grant, AR",2630,70188000,277
"G0500550","2002","Arkansas","05","Greene","055","Greene, AR",12233,276403000,769
"G0500570","2002","Arkansas","05","Hempstead","057","Hempstead, AR",7983,179585000,440
"G0500590","2002","Arkansas","05","Hot Spring","059","Hot Spring, AR",5283,126945000,533
"G0500610","2002","Arkansas","05","Howard","061","Howard, AR",7185,145910000,334
"G0500630","2002","Arkansas","05","Independence","063","Independence, AR",14249,334851000,882
"G0500650","2002","Arkansas","05","Izard","065","Izard, AR",2007,49991000,221
"G0500670","2002","Arkansas","05","Jackson","067","Jackson, AR",4280,102040000,428
"G0500690","2002","Arkansas","05","Jefferson","069","Jefferson, AR",25813,660220000,1630
"G0500710","2002","Arkansas","05","Johnson","071","Johnson, AR",7142,146096000,385
"G0500730","2002","Arkansas","05","Lafayette","073","Lafayette, AR",1265,27709000,135
"G0500750","2002","Arkansas","05","Lawrence","075","Lawrence, AR",3910,78046000,368
"G0500770","2002","Arkansas","05","Lee","077","Lee, AR",1096,22853000,153
"G0500790","2002","Arkansas","05","Lincoln","079","Lincoln, AR",1658,37601000,160
"G0500810","2002","Arkansas","05","Little River","081","Little River, AR",3664,137980000,209
"G0500830","2002","Arkansas","05","Logan","083","Logan, AR",4742,100451000,390
"G0500850","2002","Arkansas","05","Lonoke","085","Lonoke, AR",9367,202320000,981
"G0500870","2002","Arkansas","05","Madison","087","Madison, AR",2345,52268000,195
"G0500890","2002","Arkansas","05","Marion","089","Marion, AR",3157,65537000,236
"G0500910","2002","Arkansas","05","Miller","091","Miller, AR",11221,289672000,742
"G0500930","2002","Arkansas","05","Mississippi","093","Mississippi, AR",14730,409378000,947
"G0500950","2002","Arkansas","05","Monroe","095","Monroe, AR",1839,29648000,248
"G0500970","2002","Arkansas","05","Montgomery","097","Montgomery, AR",907,18089000,149
"G0500990","2002","Arkansas","05","Nevada","099","Nevada, AR",1862,45352000,133
"G0501010","2002","Arkansas","05","Newton","101","Newton, AR",720,11456000,110
"G0501030","2002","Arkansas","05","Ouachita","103","Ouachita, AR",7812,196522000,625
"G0501050","2002","Arkansas","05","Perry","105","Perry, AR",648,12379000,113
"G0501070","2002","Arkansas","05","Phillips","107","Phillips, AR",5322,115060000,497
"G0501090","2002","Arkansas","05","Pike","109","Pike, AR",2177,41879000,262
"G0501110","2002","Arkansas","05","Poinsett","111","Poinsett, AR",4283,90828000,428
"G0501130","2002","Arkansas","05","Polk","113","Polk, AR",5837,122433000,512
"G0501150","2002","Arkansas","05","Pope","115","Pope, AR",21320,549921000,1491
"G0501170","2002","Arkansas","05","Prairie","117","Prairie, AR",1283,23196000,176
"G0501190","2002","Arkansas","05","Pulaski","119","Pulaski, AR",214944,6750514000,11750
"G0501210","2002","Arkansas","05","Randolph","121","Randolph, AR",4112,81395000,344
"G0501230","2002","Arkansas","05","St Francis","123","St. Francis, AR",10802,210643000,547
"G0501250","2002","Arkansas","05","Saline","125","Saline, AR",16706,405055000,1554
"G0501270","2002","Arkansas","05","Scott","127","Scott, AR",2469,46696000,164
"G0501290","2002","Arkansas","05","Searcy","129","Searcy, AR",1082,17006000,134
"G0501310","2002","Arkansas","05","Sebastian","131","Sebastian, AR",69658,1918153000,3333
"G0501330","2002","Arkansas","05","Sevier","133","Sevier, AR",4751,94246000,284
"G0501350","2002","Arkansas","05","Sharp","135","Sharp, AR",3145,52100000,357
"G0501370","2002","Arkansas","05","Stone","137","Stone, AR",2127,39890000,236
"G0501390","2002","Arkansas","05","Union","139","Union, AR",18436,521156000,1236
"G0501410","2002","Arkansas","05","Van Buren","141","Van Buren, AR",2990,55489000,338
"G0501430","2002","Arkansas","05","Washington","143","Washington, AR",73563,2022176000,4438
"G0501450","2002","Arkansas","05","White","145","White, AR",20805,489429000,1493
"G0501470","2002","Arkansas","05","Woodruff","147","Woodruff, AR",1817,45923000,157
"G0501490","2002","Arkansas","05","Yell","149","Yell, AR",6487,124163000,348
"G0509990","2002","Arkansas","05","Remainder of Arkansas","999","Arkansas Statewide No Fixed Loc",5090,197688000,53
"G0600010","2002","California","06","Alameda","001","Alameda, CA",653437,29206644000,36772
"G0600030","2002","California","06","Alpine","003","Alpine, CA",1300,15219000,60
"G0600050","2002","California","06","Amador","005","Amador, CA",8787,225905000,891
"G0600070","2002","California","06","Butte","007","Butte, CA",56283,1354521000,4758
"G0600090","2002","California","06","Calaveras","009","Calaveras, CA",6270,144751000,997
"G0600110","2002","California","06","Colusa","011","Colusa, CA",4066,110662000,399
"G0600130","2002","California","06","Contra Costa","013","Contra Costa, CA",319317,13964094000,22439
"G0600150","2002","California","06","Del Norte","015","Del Norte, CA",3912,78957000,489
"G0600170","2002","California","06","El Dorado","017","El Dorado, CA",40114,1180171000,4262
"G0600190","2002","California","06","Fresno","019","Fresno, CA",220182,6419867000,15553
"G0600210","2002","California","06","Glenn","021","Glenn, CA",4334,122857000,500
"G0600230","2002","California","06","Humboldt","023","Humboldt, CA",37143,891299000,3511
"G0600250","2002","California","06","Imperial","025","Imperial, CA",25535,647834000,2324
