GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,C4S001,C4U001,C4V001
GIS Join Match Code,Data File Year,State Name,State Code,County Name,County Code,Area Name,Total mid-March employees,Total annual payroll,Total number of establishments
"G0100010","1979","Alabama","01","Autauga","001","Autauga, AL",5438,55657000,377
"G0100030","1979","Alabama","01","Baldwin","003","Baldwin, AL",15166,129172000,1485
"G0100050","1979","Alabama","01","Barbour","005","Barbour, AL",5547,45362000,459
"G0100070","1979","Alabama","01","Bibb","007","Bibb, AL",2644,20165000,182
"G0100090","1979","Alabama","01","Blount","009","Blount, AL",4416,38906000,399
"G0100110","1979","Alabama","01","Bullock","011","Bullock, AL",2005,14371000,168
"G0100130","1979","Alabama","01","Butler","013","Butler, AL",5474,47567000,399
"G0100150","1979","Alabama","01","Calhoun","015","Calhoun, AL",27769,267528000,1828
"G0100170","1979","Alabama","01","Chambers","017","Chambers, AL",11982,120953000,492
"G0100190","1979","Alabama","01","Cherokee","019","Cherokee, AL",2732,23613000,245
"G0100210","1979","Alabama","01","Chilton","021","Chilton, AL",3942,29823000,429
"G0100230","1979","Alabama","01","Choctaw","023","Choctaw, AL",4398,56589000,278
"G0100250","1979","Alabama","01","Clarke","025","Clarke, AL",6328,61657000,529
"G0100270","1979","Alabama","01","Clay","027","Clay, AL",2690,20687000,184
"G0100290","1979","Alabama","01","Cleburne","029","Cleburne, AL",1667,13916000,123
"G0100310","1979","Alabama","01","Coffee","031","Coffee, AL",9334,83745000,700
"G0100330","1979","Alabama","01","Colbert","033","Colbert, AL",19569,286722000,1044
"G0100350","1979","Alabama","01","Conecuh","035","Conecuh, AL",3271,31374000,223
"G0100370","1979","Alabama","01","Coosa","037","Coosa, AL",1399,12627000,111
"G0100390","1979","Alabama","01","Covington","039","Covington, AL",10727,88011000,804
"G0100410","1979","Alabama","01","Crenshaw","041","Crenshaw, AL",2291,16499000,217
"G0100430","1979","Alabama","01","Cullman","043","Cullman, AL",13062,119583000,994
"G0100450","1979","Alabama","01","Dale","045","Dale, AL",7080,74827000,555
"G0100470","1979","Alabama","01","Dallas","047","Dallas, AL",13900,128554000,1006
"G0100490","1979","Alabama","01","DeKalb","049","De Kalb, AL",11314,97253000,720
