GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,C4S001,C4U001,C4V001
GIS Join Match Code,Data File Year,State Name,State Code,County Name,County Code,Area Name,Total mid-March employees,Total annual payroll,Total number of establishments
"G0100010","1977","Alabama","01","Autauga","001","Autauga, AL",4894,48487000,379
"G0100030","1977","Alabama","01","Baldwin","003","Baldwin, AL",12785,100722000,1434
"G0100050","1977","Alabama","01","Barbour","005","Barbour, AL",4903,40831000,469
"G0100070","1977","Alabama","01","Bibb","007","Bibb, AL",2434,16931000,199
"G0100090","1977","Alabama","01","Blount","009","Blount, AL",3565,28666000,401
"G0100110","1977","Alabama","01","Bullock","011","Bullock, AL",1757,11632000,170
"G0100130","1977","Alabama","01","Butler","013","Butler, AL",4906,37993000,424
"G0100150","1977","Alabama","01","Calhoun","015","Calhoun, AL",25266,216230000,1820
"G0100170","1977","Alabama","01","Chambers","017","Chambers, AL",13208,111046000,502
"G0100190","1977","Alabama","01","Cherokee","019","Cherokee, AL",2474,18599000,227
"G0100210","1977","Alabama","01","Chilton","021","Chilton, AL",3582,24595000,434
"G0100230","1977","Alabama","01","Choctaw","023","Choctaw, AL",4182,44109000,290
"G0100250","1977","Alabama","01","Clarke","025","Clarke, AL",6393,52127000,536
"G0100270","1977","Alabama","01","Clay","027","Clay, AL",2363,16152000,204
"G0100290","1977","Alabama","01","Cleburne","029","Cleburne, AL",1442,11111000,117
"G0100310","1977","Alabama","01","Coffee","031","Coffee, AL",7298,58886000,668
"G0100330","1977","Alabama","01","Colbert","033","Colbert, AL",17067,224431000,1015
"G0100350","1977","Alabama","01","Conecuh","035","Conecuh, AL",2377,21073000,217
"G0100370","1977","Alabama","01","Coosa","037","Coosa, AL",1239,9998000,108
"G0100390","1977","Alabama","01","Covington","039","Covington, AL",10319,72052000,774
"G0100410","1977","Alabama","01","Crenshaw","041","Crenshaw, AL",1828,12044000,218
"G0100430","1977","Alabama","01","Cullman","043","Cullman, AL",11308,92714000,942
"G0100450","1977","Alabama","01","Dale","045","Dale, AL",6269,55033000,531
