GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,DZ6001,DZ8001,DZ9001
GIS Join Match Code,Data File Year,State Name,State Code,County Name,County Code,Area Name,Total mid-March employees,Total annual payroll,Total number of establishments
"G0100010","1989","Alabama","01","Autauga","001","Autauga, AL",6693,108534000,569
"G0100030","1989","Alabama","01","Baldwin","003","Baldwin, AL",21563,297017000,2319
"G0100050","1989","Alabama","01","Barbour","005","Barbour, AL",7022,104648000,511
"G0100070","1989","Alabama","01","Bibb","007","Bibb, AL",3304,44352000,257
"G0100090","1989","Alabama","01","Blount","009","Blount, AL",6412,81464000,537
"G0100110","1989","Alabama","01","Bullock","011","Bullock, AL",1873,22213000,154
"G0100130","1989","Alabama","01","Butler","013","Butler, AL",5028,69909000,427
"G0100150","1989","Alabama","01","Calhoun","015","Calhoun, AL",32678,496859000,2269
"G0100170","1989","Alabama","01","Chambers","017","Chambers, AL",11947,194718000,544
"G0100190","1989","Alabama","01","Cherokee","019","Cherokee, AL",3328,40521000,283
"G0100210","1989","Alabama","01","Chilton","021","Chilton, AL",5598,74262000,610
"G0100230","1989","Alabama","01","Choctaw","023","Choctaw, AL",4900,124659000,313
"G0100250","1989","Alabama","01","Clarke","025","Clarke, AL",6832,110450000,630
"G0100270","1989","Alabama","01","Clay","027","Clay, AL",2953,39415000,208
"G0100290","1989","Alabama","01","Cleburne","029","Cleburne, AL",2003,23781000,153
"G0100310","1989","Alabama","01","Coffee","031","Coffee, AL",10863,142179000,872
"G0100330","1989","Alabama","01","Colbert","033","Colbert, AL",17800,344886000,1291
"G0100350","1989","Alabama","01","Conecuh","035","Conecuh, AL",2396,36289000,233
"G0100370","1989","Alabama","01","Coosa","037","Coosa, AL",1413,23495000,111
"G0100390","1989","Alabama","01","Covington","039","Covington, AL",11584,158335000,833
"G0100410","1989","Alabama","01","Crenshaw","041","Crenshaw, AL",2948,37034000,237
"G0100430","1989","Alabama","01","Cullman","043","Cullman, AL",18582,280074000,1328
"G0100450","1989","Alabama","01","Dale","045","Dale, AL",10263,182423000,727
"G0100470","1989","Alabama","01","Dallas","047","Dallas, AL",13126,199496000,997
"G0100490","1989","Alabama","01","DeKalb","049","De Kalb, AL",15873,239180000,1026
"G0100510","1989","Alabama","01","Elmore","051","Elmore, AL",7091,93447000,725
"G0100530","1989","Alabama","01","Escambia","053","Escambia, AL",9015,145583000,792
"G0100550","1989","Alabama","01","Etowah","055","Etowah, AL",30866,561543000,1989
"G0100570","1989","Alabama","01","Fayette","057","Fayette, AL",5023,89402000,326
"G0100590","1989","Alabama","01","Franklin","059","Franklin, AL",7209,100641000,516
"G0100610","1989","Alabama","01","Geneva","061","Geneva, AL",4600,63845000,386
"G0100630","1989","Alabama","01","Greene","063","Greene, AL",1523,16521000,149
"G0100650","1989","Alabama","01","Hale","065","Hale, AL",2203,26803000,201
"G0100670","1989","Alabama","01","Henry","067","Henry, AL",3935,53609000,314
"G0100690","1989","Alabama","01","Houston","069","Houston, AL",36581,611709000,2418
"G0100710","1989","Alabama","01","Jackson","071","Jackson, AL",10919,179947000,818
"G0100730","1989","Alabama","01","Jefferson","073","Jefferson, AL",321526,6909983000,17546
"G0100750","1989","Alabama","01","Lamar","075","Lamar, AL",5303,80388000,297
"G0100770","1989","Alabama","01","Lauderdale","077","Lauderdale, AL",21388,316627000,1744
"G0100790","1989","Alabama","01","Lawrence","079","Lawrence, AL",3683,92275000,315
