GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,C4S001,C4U001,C4V001
GIS Join Match Code,Data File Year,State Name,State Code,County Name,County Code,Area Name,Total mid-March employees,Total annual payroll,Total number of establishments
"G0100010","1980","Alabama","01","Autauga","001","Autauga, AL",5813,65043000,363
"G0100030","1980","Alabama","01","Baldwin","003","Baldwin, AL",14289,132328000,1502
"G0100050","1980","Alabama","01","Barbour","005","Barbour, AL",5259,49045000,430
"G0100070","1980","Alabama","01","Bibb","007","Bibb, AL",2443,20761000,179
"G0100090","1980","Alabama","01","Blount","009","Blount, AL",4040,48444000,393
"G0100110","1980","Alabama","01","Bullock","011","Bullock, AL",1889,15081000,165
"G0100130","1980","Alabama","01","Butler","013","Butler, AL",5305,49278000,386
"G0100150","1980","Alabama","01","Calhoun","015","Calhoun, AL",27308,281741000,1785
"G0100170","1980","Alabama","01","Chambers","017","Chambers, AL",11766,132407000,479
"G0100190","1980","Alabama","01","Cherokee","019","Cherokee, AL",2949,27360000,241
"G0100210","1980","Alabama","01","Chilton","021","Chilton, AL",3806,29909000,409
"G0100230","1980","Alabama","01","Choctaw","023","Choctaw, AL",4282,61505000,276
"G0100250","1980","Alabama","01","Clarke","025","Clarke, AL",6160,64183000,519
"G0100270","1980","Alabama","01","Clay","027","Clay, AL",2929,25637000,189
"G0100290","1980","Alabama","01","Cleburne","029","Cleburne, AL",1694,15067000,126
"G0100310","1980","Alabama","01","Coffee","031","Coffee, AL",8688,78345000,673
"G0100330","1980","Alabama","01","Colbert","033","Colbert, AL",19536,298247000,1009
"G0100350","1980","Alabama","01","Conecuh","035","Conecuh, AL",3295,33174000,211
"G0100370","1980","Alabama","01","Coosa","037","Coosa, AL",1318,13668000,105
"G0100390","1980","Alabama","01","Covington","039","Covington, AL",10505,92213000,759
"G0100410","1980","Alabama","01","Crenshaw","041","Crenshaw, AL",2148,17393000,223
"G0100430","1980","Alabama","01","Cullman","043","Cullman, AL",12740,131143000,933
"G0100450","1980","Alabama","01","Dale","045","Dale, AL",8171,97814000,531
"G0100470","1980","Alabama","01","Dallas","047","Dallas, AL",14441,143640000,999
"G0100490","1980","Alabama","01","DeKalb","049","De Kalb, AL",11102,104644000,706
"G0100510","1980","Alabama","01","Elmore","051","Elmore, AL",4773,40380000,521
"G0100530","1980","Alabama","01","Escambia","053","Escambia, AL",8672,93546000,724
"G0100550","1980","Alabama","01","Etowah","055","Etowah, AL",29245,395877000,1648
"G0100570","1980","Alabama","01","Fayette","057","Fayette, AL",4617,45137000,287
"G0100590","1980","Alabama","01","Franklin","059","Franklin, AL",5518,50707000,435
"G0100610","1980","Alabama","01","Geneva","061","Geneva, AL",4227,37987000,338
"G0100630","1980","Alabama","01","Greene","063","Greene, AL",1191,9511000,122
"G0100650","1980","Alabama","01","Hale","065","Hale, AL",1287,11041000,167
"G0100670","1980","Alabama","01","Henry","067","Henry, AL",2872,26389000,247
"G0100690","1980","Alabama","01","Houston","069","Houston, AL",26551,284174000,1796
"G0100710","1980","Alabama","01","Jackson","071","Jackson, AL",10634,129338000,652
"G0100730","1980","Alabama","01","Jefferson","073","Jefferson, AL",273354,3802243000,13413
"G0100750","1980","Alabama","01","Lamar","075","Lamar, AL",4258,40682000,240
"G0100770","1980","Alabama","01","Lauderdale","077","Lauderdale, AL",16180,164429000,1348
"G0100790","1980","Alabama","01","Lawrence","079","Lawrence, AL",3794,54767000,224
"G0100810","1980","Alabama","01","Lee","081","Lee, AL",19527,215743000,1091
"G0100830","1980","Alabama","01","Limestone","083","Limestone, AL",8054,97355000,531
"G0100850","1980","Alabama","01","Lowndes","085","Lowndes, AL",1455,13758000,123
"G0100870","1980","Alabama","01","Macon","087","Macon, AL",3574,29075000,208
"G0100890","1980","Alabama","01","Madison","089","Madison, AL",59997,724088000,3526
"G0100910","1980","Alabama","01","Marengo","091","Marengo, AL",4594,53183000,396
"G0100930","1980","Alabama","01","Marion","093","Marion, AL",8349,85059000,418
"G0100950","1980","Alabama","01","Marshall","095","Marshall, AL",16315,169043000,1203
"G0100970","1980","Alabama","01","Mobile","097","Mobile, AL",114446,1431506000,6973
"G0100990","1980","Alabama","01","Monroe","099","Monroe, AL",5895,58974000,314
"G0101010","1980","Alabama","01","Montgomery","101","Montgomery, AL",71212,853809000,4277
"G0101030","1980","Alabama","01","Morgan","103","Morgan, AL",29474,373568000,1767
"G0101050","1980","Alabama","01","Perry","105","Perry, AL",1798,14012000,172
"G0101070","1980","Alabama","01","Pickens","107","Pickens, AL",3265,31199000,308
"G0101090","1980","Alabama","01","Pike","109","Pike, AL",6732,61388000,513
"G0101110","1980","Alabama","01","Randolph","111","Randolph, AL",3551,30603000,275
"G0101130","1980","Alabama","01","Russell","113","Russell, AL",7373,74348000,606
"G0101150","1980","Alabama","01","St Clair","115","St. Clair, AL",4701,48931000,431
"G0101170","1980","Alabama","01","Shelby","117","Shelby, AL",11659,138393000,833
"G0101190","1980","Alabama","01","Sumter","119","Sumter, AL",3468,34058000,224
"G0101210","1980","Alabama","01","Talladega","121","Talladega, AL",17269,204440000,1018
"G0101230","1980","Alabama","01","Tallapoosa","123","Tallapoosa, AL",13630,139008000,637
"G0101250","1980","Alabama","01","Tuscaloosa","125","Tuscaloosa, AL",32235,408420000,2250
"G0101270","1980","Alabama","01","Walker","127","Walker, AL",15640,228921000,990
"G0101290","1980","Alabama","01","Washington","129","Washington, AL",3346,56881000,167
"G0101310","1980","Alabama","01","Wilcox","131","Wilcox, AL",2725,33582000,193
"G0101330","1980","Alabama","01","Winston","133","Winston, AL",7664,71009000,398
"G0109990","1980","Alabama","01","Remainder of Alabama","999","Alabama Statewide No Fixed Loc",6009,107729000,285
"G0200100","1980","Alaska","02","Aleutian Islands","010","Aleutian Islands, AK",1790,25193000,64
"G0200200","1980","Alaska","02","Anchorage","020","Anchorage, AK",55754,1287151000,4256
"G0200300","1980","Alaska","02","Angoon","030","Angoon, AK",78,2056000,11
"G0200400","1980","Alaska","02","Barrow","040","Barrow, AK",948,34287000,47
"G0200500","1980","Alaska","02","Bethel","050","Bethel, AK",992,13282000,117
"G0200600","1980","Alaska","02","Bristol Bay Borough","060","Bristol Bay, AK",145,4718000,29
"G0200700","1980","Alaska","02","Dillingham","070","Dillingham (Bristol Bay), AK",686,16385000,59
"G0200800","1980","Alaska","02","Cordova-McCarthy","080","Cordova-McCarthy, AK",577,11178000,68
"G0200900","1980","Alaska","02","Fairbanks North Star","090","Fairbanks North Star, AK",11513,260187000,1075
"G0201000","1980","Alaska","02","Haines","100","Haines, AK",364,5378000,58
"G0201100","1980","Alaska","02","Juneau","110","Juneau, AK",4462,76155000,510
"G0201200","1980","Alaska","02","Kenai-Cook Inlet","120","Kenai-Cook Inlet, AK",4896,107749000,554
"G0201300","1980","Alaska","02","Ketchikan Gateway","130","Ketchikan Gateway, AK",4298,90497000,335
"G0201400","1980","Alaska","02","Kobuk","140","Kobuk, AK",500,7278000,54
"G0201500","1980","Alaska","02","Kodiak Island","150","Kodiak Island, AK",2759,50340000,232
"G0201600","1980","Alaska","02","Kuskokwim","160","Kuskokwim, AK",87,1361000,35
"G0201700","1980","Alaska","02","Matanuska-Susitna","170","Matanuska Susitna, AK",1504,29913000,292
"G0201800","1980","Alaska","02","Nome","180","Nome, AK",818,13783000,101
"G0201900","1980","Alaska","02","Outer Ketchikan","190","Outer Ketchikan, AK",0,0,13
"G0202000","1980","Alaska","02","Prince Of Wales","200","Prince of Wales, AK",219,6785000,35
"G0202100","1980","Alaska","02","Seward","210","Seward, AK",746,10412000,83
"G0202200","1980","Alaska","02","Sitka","220","Sitka, AK",1881,46644000,184
"G0202300","1980","Alaska","02","Skagway-Yakutat","230","Skagway-Yakutat, AK",342,5112000,55
"G0202400","1980","Alaska","02","Southeast Fairbanks","240","Southeast Fairbanks, AK",299,3987000,65
"G0202500","1980","Alaska","02","Upper Yukon","250","Upper Yukon, AK",79,1325000,12
"G0202600","1980","Alaska","02","Valdez-Chitina-Whittier","260","Valdez-Chitina-Whittier, AK",1166,34257000,111
"G0202700","1980","Alaska","02","Wade Hampton","270","Wade Hampton, AK",306,2924000,39
"G0202800","1980","Alaska","02","Wrangell-Petersburg","280","Wrangel-Petersburg, AK",1225,23112000,144
