GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,C4S001,C4U001,C4V001
GIS Join Match Code,Data File Year,State Name,State Code,County Name,County Code,Area Name,Total mid-March employees,Total annual payroll,Total number of establishments
"G0100010","1981","Alabama","01","Autauga","001","Autauga, AL",5421,69796000,354
"G0100030","1981","Alabama","01","Baldwin","003","Baldwin, AL",14102,144202000,1487
"G0100050","1981","Alabama","01","Barbour","005","Barbour, AL",4935,53933000,421
"G0100070","1981","Alabama","01","Bibb","007","Bibb, AL",2276,20913000,172
"G0100090","1981","Alabama","01","Blount","009","Blount, AL",3945,46572000,367
"G0100110","1981","Alabama","01","Bullock","011","Bullock, AL",1837,15953000,160
"G0100130","1981","Alabama","01","Butler","013","Butler, AL",5952,56596000,387
"G0100150","1981","Alabama","01","Calhoun","015","Calhoun, AL",26756,303316000,1763
"G0100170","1981","Alabama","01","Chambers","017","Chambers, AL",11548,134971000,459
"G0100190","1981","Alabama","01","Cherokee","019","Cherokee, AL",2971,32933000,235
"G0100210","1981","Alabama","01","Chilton","021","Chilton, AL",3205,32901000,392
"G0100230","1981","Alabama","01","Choctaw","023","Choctaw, AL",4177,60910000,255
"G0100250","1981","Alabama","01","Clarke","025","Clarke, AL",5815,65092000,514
"G0100270","1981","Alabama","01","Clay","027","Clay, AL",2818,25310000,177
"G0100290","1981","Alabama","01","Cleburne","029","Cleburne, AL",1692,16242000,123
"G0100310","1981","Alabama","01","Coffee","031","Coffee, AL",8163,83064000,667
"G0100330","1981","Alabama","01","Colbert","033","Colbert, AL",17764,311840000,994
"G0100350","1981","Alabama","01","Conecuh","035","Conecuh, AL",2594,23763000,215
"G0100370","1981","Alabama","01","Coosa","037","Coosa, AL",1375,14566000,99
"G0100390","1981","Alabama","01","Covington","039","Covington, AL",9681,97297000,746
"G0100410","1981","Alabama","01","Crenshaw","041","Crenshaw, AL",2033,17995000,208
"G0100430","1981","Alabama","01","Cullman","043","Cullman, AL",12633,137457000,921
"G0100450","1981","Alabama","01","Dale","045","Dale, AL",8178,106127000,513
"G0100470","1981","Alabama","01","Dallas","047","Dallas, AL",14296,159394000,1002
"G0100490","1981","Alabama","01","DeKalb","049","De Kalb, AL",11060,113233000,697
"G0100510","1981","Alabama","01","Elmore","051","Elmore, AL",4467,45261000,506
"G0100530","1981","Alabama","01","Escambia","053","Escambia, AL",8256,97391000,722
"G0100550","1981","Alabama","01","Etowah","055","Etowah, AL",28742,438004000,1609
"G0100570","1981","Alabama","01","Fayette","057","Fayette, AL",4624,49668000,272
"G0100590","1981","Alabama","01","Franklin","059","Franklin, AL",5540,57324000,436
"G0100610","1981","Alabama","01","Geneva","061","Geneva, AL",3837,40644000,330
"G0100630","1981","Alabama","01","Greene","063","Greene, AL",1268,11264000,129
"G0100650","1981","Alabama","01","Hale","065","Hale, AL",1224,11257000,171
"G0100670","1981","Alabama","01","Henry","067","Henry, AL",3026,30933000,236
"G0100690","1981","Alabama","01","Houston","069","Houston, AL",27054,312133000,1790
"G0100710","1981","Alabama","01","Jackson","071","Jackson, AL",10545,140767000,637
"G0100730","1981","Alabama","01","Jefferson","073","Jefferson, AL",265513,4097271000,13422
"G0100750","1981","Alabama","01","Lamar","075","Lamar, AL",4050,43372000,227
"G0100770","1981","Alabama","01","Lauderdale","077","Lauderdale, AL",16963,185065000,1369
"G0100790","1981","Alabama","01","Lawrence","079","Lawrence, AL",3835,60696000,206
"G0100810","1981","Alabama","01","Lee","081","Lee, AL",18961,234206000,1074
"G0100830","1981","Alabama","01","Limestone","083","Limestone, AL",7605,114760000,533
"G0100850","1981","Alabama","01","Lowndes","085","Lowndes, AL",1294,13596000,117
"G0100870","1981","Alabama","01","Macon","087","Macon, AL",4066,31486000,205
"G0100890","1981","Alabama","01","Madison","089","Madison, AL",58830,826027000,3484
"G0100910","1981","Alabama","01","Marengo","091","Marengo, AL",4858,60293000,381
"G0100930","1981","Alabama","01","Marion","093","Marion, AL",8316,96545000,431
"G0100950","1981","Alabama","01","Marshall","095","Marshall, AL",15708,179615000,1179
"G0100970","1981","Alabama","01","Mobile","097","Mobile, AL",112116,1605579000,6991
"G0100990","1981","Alabama","01","Monroe","099","Monroe, AL",5735,76642000,310
"G0101010","1981","Alabama","01","Montgomery","101","Montgomery, AL",71923,929688000,4268
"G0101030","1981","Alabama","01","Morgan","103","Morgan, AL",28797,404585000,1723
"G0101050","1981","Alabama","01","Perry","105","Perry, AL",1997,15721000,178
"G0101070","1981","Alabama","01","Pickens","107","Pickens, AL",2953,31830000,296
"G0101090","1981","Alabama","01","Pike","109","Pike, AL",6238,63215000,503
"G0101110","1981","Alabama","01","Randolph","111","Randolph, AL",3906,37718000,270
"G0101130","1981","Alabama","01","Russell","113","Russell, AL",7132,79507000,591
"G0101150","1981","Alabama","01","St Clair","115","St. Clair, AL",4794,51607000,436
"G0101170","1981","Alabama","01","Shelby","117","Shelby, AL",11989,155516000,807
"G0101190","1981","Alabama","01","Sumter","119","Sumter, AL",3413,34676000,225
"G0101210","1981","Alabama","01","Talladega","121","Talladega, AL",17381,216309000,984
