GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,C4S001,C4U001,C4V001
GIS Join Match Code,Data File Year,State Name,State Code,County Name,County Code,Area Name,Total mid-March employees,Total annual payroll,Total number of establishments
"G0100010","1984","Alabama","01","Autauga","001","Autauga, AL",5458,81585000,464
"G0100030","1984","Alabama","01","Baldwin","003","Baldwin, AL",16632,197366000,2031
"G0100050","1984","Alabama","01","Barbour","005","Barbour, AL",5421,62804000,483
"G0100070","1984","Alabama","01","Bibb","007","Bibb, AL",2876,29205000,245
"G0100090","1984","Alabama","01","Blount","009","Blount, AL",4386,49267000,466
"G0100110","1984","Alabama","01","Bullock","011","Bullock, AL",1631,17632000,161
"G0100130","1984","Alabama","01","Butler","013","Butler, AL",5690,66443000,444
"G0100150","1984","Alabama","01","Calhoun","015","Calhoun, AL",27629,364054000,2109
"G0100170","1984","Alabama","01","Chambers","017","Chambers, AL",11798,153222000,557
"G0100190","1984","Alabama","01","Cherokee","019","Cherokee, AL",3144,32615000,283
"G0100210","1984","Alabama","01","Chilton","021","Chilton, AL",4736,56072000,524
"G0100230","1984","Alabama","01","Choctaw","023","Choctaw, AL",4086,81460000,296
"G0100250","1984","Alabama","01","Clarke","025","Clarke, AL",6087,79574000,585
"G0100270","1984","Alabama","01","Clay","027","Clay, AL",2611,29611000,204
"G0100290","1984","Alabama","01","Cleburne","029","Cleburne, AL",1821,21757000,148
"G0100310","1984","Alabama","01","Coffee","031","Coffee, AL",8969,101829000,844
"G0100330","1984","Alabama","01","Colbert","033","Colbert, AL",16066,288165000,1183
"G0100350","1984","Alabama","01","Conecuh","035","Conecuh, AL",2797,31573000,246
"G0100370","1984","Alabama","01","Coosa","037","Coosa, AL",1169,21714000,132
"G0100390","1984","Alabama","01","Covington","039","Covington, AL",10553,120371000,862
"G0100410","1984","Alabama","01","Crenshaw","041","Crenshaw, AL",2488,26169000,233
"G0100430","1984","Alabama","01","Cullman","043","Cullman, AL",13750,181519000,1170
"G0100450","1984","Alabama","01","Dale","045","Dale, AL",7654,104001000,673
"G0100470","1984","Alabama","01","Dallas","047","Dallas, AL",14219,184280000,1060
"G0100490","1984","Alabama","01","DeKalb","049","De Kalb, AL",12113,152906000,903
"G0100510","1984","Alabama","01","Elmore","051","Elmore, AL",5260,62577000,618
"G0100530","1984","Alabama","01","Escambia","053","Escambia, AL",8800,121209000,815
"G0100550","1984","Alabama","01","Etowah","055","Etowah, AL",28584,498417000,1889
"G0100570","1984","Alabama","01","Fayette","057","Fayette, AL",4639,63964000,306
"G0100590","1984","Alabama","01","Franklin","059","Franklin, AL",6807,84489000,526
"G0100610","1984","Alabama","01","Geneva","061","Geneva, AL",4198,48647000,375
"G0100630","1984","Alabama","01","Greene","063","Greene, AL",1173,12359000,144
"G0100650","1984","Alabama","01","Hale","065","Hale, AL",1661,17387000,201
