GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,C4S001,C4U001,C4V001
GIS Join Match Code,Data File Year,State Name,State Code,County Name,County Code,Area Name,Total mid-March employees,Total annual payroll,Total number of establishments
"G0100010","1982","Alabama","01","Autauga","001","Autauga, AL",4998,65799000,363
"G0100030","1982","Alabama","01","Baldwin","003","Baldwin, AL",14995,151629000,1535
"G0100050","1982","Alabama","01","Barbour","005","Barbour, AL",4949,51861000,419
"G0100070","1982","Alabama","01","Bibb","007","Bibb, AL",2169,22515000,175
"G0100090","1982","Alabama","01","Blount","009","Blount, AL",3965,43137000,366
"G0100110","1982","Alabama","01","Bullock","011","Bullock, AL",1662,15881000,147
"G0100130","1982","Alabama","01","Butler","013","Butler, AL",6359,61830000,382
"G0100150","1982","Alabama","01","Calhoun","015","Calhoun, AL",25350,306407000,1698
"G0100170","1982","Alabama","01","Chambers","017","Chambers, AL",10957,133785000,459
"G0100190","1982","Alabama","01","Cherokee","019","Cherokee, AL",2959,30208000,230
"G0100210","1982","Alabama","01","Chilton","021","Chilton, AL",4160,44250000,429
"G0100230","1982","Alabama","01","Choctaw","023","Choctaw, AL",4412,73834000,250
"G0100250","1982","Alabama","01","Clarke","025","Clarke, AL",5656,65978000,506
"G0100270","1982","Alabama","01","Clay","027","Clay, AL",2552,25043000,163
"G0100290","1982","Alabama","01","Cleburne","029","Cleburne, AL",1674,17315000,122
"G0100310","1982","Alabama","01","Coffee","031","Coffee, AL",8090,85001000,676
"G0100330","1982","Alabama","01","Colbert","033","Colbert, AL",16411,290149000,1000
"G0100350","1982","Alabama","01","Conecuh","035","Conecuh, AL",3287,38058000,212
"G0100370","1982","Alabama","01","Coosa","037","Coosa, AL",1278,15353000,97
"G0100390","1982","Alabama","01","Covington","039","Covington, AL",9523,100468000,709
"G0100410","1982","Alabama","01","Crenshaw","041","Crenshaw, AL",2316,20633000,206
"G0100430","1982","Alabama","01","Cullman","043","Cullman, AL",11562,133934000,917
"G0100450","1982","Alabama","01","Dale","045","Dale, AL",7279,93363000,523
"G0100470","1982","Alabama","01","Dallas","047","Dallas, AL",13727,158735000,937
"G0100490","1982","Alabama","01","DeKalb","049","De Kalb, AL",10950,123460000,701
"G0100510","1982","Alabama","01","Elmore","051","Elmore, AL",4459,43716000,483
"G0100530","1982","Alabama","01","Escambia","053","Escambia, AL",8297,100493000,706
"G0100550","1982","Alabama","01","Etowah","055","Etowah, AL",26714,407952000,1577
"G0100570","1982","Alabama","01","Fayette","057","Fayette, AL",4048,47143000,266
"G0100590","1982","Alabama","01","Franklin","059","Franklin, AL",5816,60615000,432
"G0100610","1982","Alabama","01","Geneva","061","Geneva, AL",3652,39152000,304
"G0100630","1982","Alabama","01","Greene","063","Greene, AL",1425,11847000,119
"G0100650","1982","Alabama","01","Hale","065","Hale, AL",1189,12220000,167
"G0100670","1982","Alabama","01","Henry","067","Henry, AL",2931,30059000,234
"G0100690","1982","Alabama","01","Houston","069","Houston, AL",27871,357826000,1858
